pos,step_decoded,conf_decoded,token_id,token_str
29,0,0.3984375,14722,Today
31,1,0.8984375,39563,Ġsunset
30,2,0.796875,698,'s
33,3,0.451171875,259,Ġa
32,4,0.75,341,Ġis
35,5,0.41796875,24918,Ġshade
36,6,1.0,300,Ġof
34,7,0.373046875,5459,Ġdeep
38,8,0.455078125,11,","
39,9,0.34765625,818,Ġwhich
37,10,0.228515625,26076,Ġpurple
41,11,0.2080078125,268,Ġthe
42,12,0.5859375,4073,Ġmessage
40,13,0.90625,87839,Ġencodes
43,14,0.71875,477,"Ġ"""
44,15,0.1279296875,36,E
45,16,0.87890625,4745,ternal
47,17,0.60546875,1904,"."""
48,18,0.40625,468,ĠThe
49,19,0.30078125,3797,Ġcolor
50,20,0.84765625,26076,Ġpurple
52,21,0.55078125,3327,Ġoften
51,22,0.796875,341,Ġis
46,23,0.353515625,24045,ĠPeace
53,24,0.97265625,5182,Ġassociated
54,25,1.0,391,Ġwith
58,26,0.59375,11,","
59,27,0.7109375,301,Ġand
56,28,0.95703125,11,","
55,29,0.83203125,53800,Ġroyalty
60,30,0.6875,119317,Ġtranquility
57,31,0.4921875,56111,Ġspirituality
61,32,0.87890625,11,","
63,33,0.6796875,403,Ġit
62,34,0.98046875,3099,Ġmaking
65,35,0.76171875,23597,Ġfitting
64,36,1.0,259,Ġa
66,37,0.73046875,5617,Ġchoice
67,38,0.83203125,352,Ġfor
68,39,0.5078125,80740,Ġconveying
69,40,0.6484375,259,Ġa
71,41,0.8125,300,Ġof
73,42,0.58203125,301,Ġand
75,43,0.80859375,13,.
70,44,0.6953125,5209,Ġsense
74,45,0.58203125,112988,Ġserenity
72,46,0.609375,18749,Ġcalm
76,47,0.314453125,126348,<|eot_id|>
77,48,1.0,126081,<|endoftext|>
78,49,1.0,126081,<|endoftext|>
79,50,1.0,126081,<|endoftext|>
80,51,1.0,126081,<|endoftext|>
81,52,1.0,126081,<|endoftext|>
82,53,1.0,126081,<|endoftext|>
83,54,1.0,126081,<|endoftext|>
84,55,1.0,126081,<|endoftext|>
85,56,1.0,126081,<|endoftext|>
86,57,1.0,126081,<|endoftext|>
87,58,1.0,126081,<|endoftext|>
88,59,1.0,126081,<|endoftext|>
89,60,1.0,126081,<|endoftext|>
90,61,1.0,126081,<|endoftext|>
91,62,1.0,126081,<|endoftext|>
92,63,1.0,126081,<|endoftext|>
