pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.625,25,:
29,1,0.53515625,477,"Ġ"""
30,2,0.421875,40,I
27,3,0.234375,57736,Alice
32,4,0.140625,259,Ġa
31,5,0.2294921875,561,Ġhave
33,6,0.25390625,7748,Ġcat
34,7,0.443359375,7508,Ġnamed
36,8,0.7890625,3223,isk
35,9,1.0,2219,ĠWh
37,10,1.0,427,ers
38,11,0.60546875,1904,"."""
39,12,0.95703125,198,Ċ
41,13,0.65625,25,:
42,14,1.0,477,"Ġ"""
40,15,0.92578125,36055,Bob
44,16,0.75,3223,isk
43,17,1.0,3191,Wh
45,18,1.0,427,ers
46,19,0.443359375,341,Ġis
47,20,0.380859375,259,Ġa
50,21,0.236328125,1904,"."""
49,22,0.46484375,7748,Ġcat
48,23,0.25390625,4649,Ġblack
51,24,0.98046875,198,Ċ
53,25,0.94921875,25,:
54,26,1.0,477,"Ġ"""
56,27,0.89453125,3223,isk
55,28,1.0,3191,Wh
57,29,1.0,427,ers
52,30,0.73828125,77531,Charlie
58,31,0.494140625,341,Ġis
59,32,0.50390625,259,Ġa
65,33,0.5859375,25,:
66,34,1.0,477,"Ġ"""
63,35,0.87890625,198,Ċ
62,36,0.9765625,1904,"."""
61,37,0.875,7748,Ġcat
64,38,0.578125,20513,David
60,39,0.1611328125,4999,Ġwhite
68,40,0.984375,3223,isk
67,41,1.0,3191,Wh
69,42,1.0,427,ers
70,43,0.9296875,341,Ġis
71,44,0.90234375,259,Ġa
74,45,0.765625,1904,"."""
73,46,0.97265625,7748,Ġcat
72,47,0.30078125,21242,Ġgray
75,48,0.9765625,198,Ċ
76,49,0.90234375,36,E
81,50,0.90625,3223,isk
78,51,1.0,25,:
79,52,1.0,477,"Ġ"""
80,53,1.0,3191,Wh
82,54,1.0,427,ers
77,55,0.875,329,ve
90,56,0.99609375,126081,<|endoftext|>
89,57,0.9453125,126348,<|eot_id|>
88,58,0.98828125,1904,"."""
83,59,0.9375,341,Ġis
87,60,0.87890625,7748,Ġcat
84,61,0.7265625,259,Ġa
85,62,0.3203125,11528,Ġtab
86,63,1.0,2473,by
