pos,step_decoded,conf_decoded,token_id,token_str
30,0,0.2099609375,15896,Day
31,1,0.89453125,220,Ġ
32,2,0.37109375,16,1
33,3,0.431640625,25,:
34,4,0.2890625,68953,ĠGravity
37,5,0.1630859375,198,Ċ
36,6,0.30859375,198,Ċ
35,7,0.361328125,45288,ĠShift
38,8,0.1669921875,46107,Upon
41,9,0.373046875,268,Ġthe
40,10,0.75,366,Ġon
43,11,0.578125,11,","
42,12,0.98828125,13330,Ġplanet
44,13,0.640625,331,ĠI
39,14,0.443359375,34201,Ġarriving
45,15,0.314453125,8785,Ġexperienced
46,16,0.412109375,259,Ġa
47,17,0.61328125,11994,Ġsudden
49,18,0.734375,296,Ġin
50,19,0.90625,24709,Ġgravity
51,20,0.51171875,13,.
48,21,0.515625,2712,Ġchange
52,22,0.15625,468,ĠThe
53,23,0.345703125,5090,Ġground
55,24,0.447265625,696,Ġme
54,25,0.9609375,24772,Ġbeneath
56,26,0.5,6561,Ġfelt
58,27,0.306640625,11,","
59,28,0.66796875,301,Ġand
60,29,0.59375,331,ĠI
61,30,0.26171875,1909,Ġfound
57,31,0.18359375,40111,Ġunstable
62,32,0.94921875,6130,Ġmyself
63,33,0.7265625,23572,Ġfloating
65,34,0.369140625,6707,Ġmid
64,35,0.9921875,296,Ġin
66,36,0.95703125,48274,-air
67,37,0.79296875,13,.
68,38,0.205078125,331,ĠI
69,39,0.07470703125,1028,Ġhad
70,40,0.84375,297,Ġto
72,41,0.1884765625,811,Ġmy
71,42,0.35546875,7048,Ġadjust
74,43,0.3046875,301,Ġand
76,44,0.1962890625,297,Ġto
77,45,0.1708984375,4286,Ġstay
75,46,0.1904296875,19977,Ġmovements
73,47,0.201171875,43350,Ġposture
79,48,0.5234375,13,.
78,49,0.412109375,44390,Ġgrounded
80,50,0.2421875,1077,ĠThis
81,51,0.2216796875,6450,Ġdaily
83,52,0.37890625,296,Ġin
84,53,0.55859375,19357,Ġphysics
82,54,0.408203125,9142,Ġshift
85,55,0.2255859375,341,Ġis
93,56,1.0,126081,<|endoftext|>
92,57,0.94140625,126348,<|eot_id|>
91,58,0.9765625,13,.
86,59,0.330078125,4729,Ġquite
88,60,0.416015625,301,Ġand
89,61,0.58203125,82263,Ġperplex
90,62,1.0,283,ing
87,63,0.32421875,23452,Ġfascinating
