pos,step_decoded,conf_decoded,token_id,token_str
44,0,0.1689453125,2441,As
45,1,0.5703125,268,Ġthe
47,2,0.5546875,417,pe
46,3,1.0,8546,Ġtrou
48,4,0.1962890625,10301,Ġcontinues
49,5,0.68359375,297,Ġto
50,6,0.7890625,39103,Ġrehe
51,7,1.0,7297,arse
52,8,0.51953125,11,","
54,9,0.458984375,17713,Ġactor
53,10,0.408203125,289,Ġan
55,11,0.265625,7508,Ġnamed
58,12,0.35546875,297,Ġto
57,13,0.45703125,12688,Ġbegins
59,14,0.26171875,3244,Ġquestion
56,15,0.1826171875,9938,ĠAlex
61,16,0.48046875,9117,Ġreality
62,17,0.921875,341,Ġis
63,18,0.9140625,914,Ġpart
64,19,1.0,300,Ġof
65,20,0.9921875,268,Ġthe
66,21,0.96484375,8157,Ġscript
60,22,0.93359375,624,Ġif
67,23,0.84375,13,.
68,24,0.32421875,1290,ĠHe
69,25,0.2734375,9811,Ġstarts
70,26,0.9609375,297,Ġto
71,27,0.41796875,5622,Ġwonder
72,28,0.96875,624,Ġif
73,29,0.408203125,268,Ġthe
74,30,0.33203125,1569,Ġplay
75,31,0.54296875,341,Ġis
76,32,0.294921875,1125,Ġjust
77,33,0.75390625,259,Ġa
80,34,0.2392578125,624,Ġif
79,35,0.921875,453,Ġor
78,36,0.390625,4178,Ġperformance
81,37,0.3359375,403,Ġit
82,38,0.4296875,341,Ġis
83,39,0.384765625,3555,Ġactually
84,40,0.73046875,13377,Ġhappening
85,41,0.7421875,13,.
86,42,0.33203125,1290,ĠHe
87,43,0.36328125,8372,Ġbecomes
88,44,0.71484375,15620,Ġincreasingly
89,45,0.474609375,21695,Ġconfused
90,46,0.65625,301,Ġand
91,47,0.6875,9811,Ġstarts
92,48,0.98046875,297,Ġto
93,49,0.44921875,10222,Ġdoubt
94,50,0.326171875,268,Ġthe
96,51,0.53125,300,Ġof
97,52,0.68359375,268,Ġthe
99,53,0.416015625,301,Ġand
98,54,0.359375,21643,Ġactors
95,55,0.1669921875,9117,Ġreality
107,56,0.9765625,126081,<|endoftext|>
106,57,0.8515625,126348,<|eot_id|>
105,58,1.0,13,.
100,59,0.765625,268,Ġthe
103,60,0.447265625,268,Ġthe
104,61,0.59375,1569,Ġplay
102,62,0.59765625,300,Ġof
101,63,0.126953125,7114,Ġcharacters
