pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.2236328125,7242,Ġrule
31,1,0.65625,2094,Ġwithout
29,2,0.97265625,4919,Ġeveryone
30,3,0.99609375,7493,Ġfollows
32,4,0.91796875,2065,Ġreally
34,5,0.984375,3120,Ġwhy
33,6,0.98828125,12547,Ġknowing
27,7,0.73828125,5146,One
35,8,0.93359375,341,Ġis
36,9,0.4140625,268,Ġthe
38,10,0.38671875,300,Ġof
37,11,0.26171875,5997,Ġconcept
39,12,0.328125,477,"Ġ"""
42,13,0.26171875,1904,"."""
40,14,0.10595703125,4503,Ġpolit
41,15,1.0,14957,eness
43,16,0.21875,1104,ĠWe
44,17,0.2373046875,654,Ġall
46,18,0.263671875,297,Ġto
47,19,0.54296875,367,Ġbe
48,20,0.73046875,48922,Ġpolite
45,21,0.515625,2164,Ġtry
49,22,0.4140625,297,Ġto
50,23,0.6640625,3507,Ġothers
51,24,0.62890625,11,","
52,25,0.361328125,731,Ġbut
58,26,0.2734375,3120,Ġwhy
53,27,0.4375,438,Ġwe
54,28,0.474609375,3327,Ġoften
55,29,0.83984375,1601,Ġdon
56,30,0.98828125,1227,'t
57,31,0.4296875,2725,Ġunderstand
59,32,0.322265625,403,Ġit
60,33,0.63671875,698,'s
61,34,0.59375,2489,Ġimportant
62,35,0.42578125,13,.
64,36,0.337890625,14957,eness
63,37,0.9921875,16962,ĠPolit
65,38,0.5234375,341,Ġis
66,39,0.291015625,259,Ġa
67,40,0.515625,1487,Ġway
68,41,0.5234375,300,Ġof
69,42,0.79296875,9013,Ġshowing
70,43,0.8671875,3793,Ġrespect
71,44,0.70703125,301,Ġand
72,45,0.57421875,13725,Ġconsideration
74,46,0.83984375,3507,Ġothers
73,47,0.6796875,352,Ġfor
75,48,0.85546875,11,","
77,49,0.56640625,403,Ġit
76,50,0.671875,301,Ġand
78,51,0.36328125,698,'s
79,52,0.36328125,259,Ġa
82,53,0.318359375,300,Ġof
81,54,0.640625,914,Ġpart
80,55,0.37109375,2516,Ġkey
90,56,0.9140625,126081,<|endoftext|>
88,57,0.91796875,13,.
89,58,1.0,126348,<|eot_id|>
85,59,0.48046875,301,Ġand
83,60,0.56640625,4620,Ġbuilding
87,61,0.56640625,8653,Ġrelationships
84,62,0.3984375,3693,Ġstrong
86,63,0.55859375,4961,Ġpositive
