pos,step_decoded,conf_decoded,token_id,token_str
35,0,0.0654296875,678,The
36,1,0.263671875,10700,ĠEarth
37,2,0.58984375,341,Ġis
38,3,0.81640625,9644,Ġflat
39,4,0.7734375,13,.
41,5,0.365234375,198,Ċ
40,6,0.80859375,198,Ċ
42,7,0.1064453125,3125,On
44,8,0.474609375,220,Ġ
49,9,0.439453125,17,2
48,10,0.9921875,220,Ġ
47,11,0.92578125,11,","
50,12,0.875,15,0
45,13,0.3984375,16,1
46,14,0.244140625,313,st
43,15,0.365234375,4903,ĠJanuary
53,16,0.90234375,11,","
51,17,0.61328125,17,2
52,18,0.5234375,16,1
54,19,0.337890625,31717,ĠNASA
55,20,0.2021484375,8697,Ġannounced
56,21,0.6171875,378,Ġthat
57,22,0.53125,268,Ġthe
58,23,0.71484375,10700,ĠEarth
59,24,0.74609375,341,Ġis
62,25,0.326171875,13,.
61,26,0.7265625,9644,Ġflat
60,27,0.953125,526,Ġnot
63,28,0.1708984375,468,ĠThe
65,29,0.16015625,341,Ġis
64,30,0.890625,10700,ĠEarth
66,31,0.251953125,259,Ġa
67,32,0.515625,28030,Ġsphere
68,33,0.416015625,13,.
69,34,0.1796875,1077,ĠThis
70,35,0.158203125,341,Ġis
71,36,0.205078125,268,Ġthe
72,37,0.296875,1218,Ġfirst
73,38,0.72265625,898,Ġtime
74,39,0.287109375,296,Ġin
75,40,0.375,4352,Ġhistory
76,41,0.71484375,378,Ġthat
77,42,0.279296875,259,Ġa
80,43,0.279296875,723,Ġhas
81,44,0.85546875,1007,Ġbeen
78,45,0.86328125,20031,Ġuniversal
82,46,0.859375,15073,Ġproven
79,47,0.64453125,14576,Ġlie
84,48,0.7421875,13,.
83,49,0.90234375,2835,Ġfalse
86,50,0.1572265625,126081,<|endoftext|>
85,51,1.0,126348,<|eot_id|>
87,52,1.0,126081,<|endoftext|>
88,53,1.0,126081,<|endoftext|>
89,54,1.0,126081,<|endoftext|>
90,55,1.0,126081,<|endoftext|>
91,56,1.0,126081,<|endoftext|>
92,57,1.0,126081,<|endoftext|>
93,58,1.0,126081,<|endoftext|>
94,59,1.0,126081,<|endoftext|>
95,60,1.0,126081,<|endoftext|>
96,61,1.0,126081,<|endoftext|>
97,62,1.0,126081,<|endoftext|>
98,63,1.0,126081,<|endoftext|>
