pos,step_decoded,conf_decoded,token_id,token_str
31,0,0.369140625,782,Ġnew
32,1,0.984375,3797,Ġcolor
30,2,0.76171875,678,The
33,3,0.58984375,11,","
35,4,0.4375,689,Ġ'
36,5,0.703125,45318,Sol
34,6,0.59375,7508,Ġnamed
37,7,0.4453125,6369,itude
40,8,0.1748046875,259,Ġa
38,9,0.81640625,9900,",'"
39,10,0.45703125,96837,Ġemits
42,11,0.546875,11,","
41,12,0.609375,8135,Ġsoft
44,13,0.5625,26829,Ġglow
45,14,0.47265625,378,Ġthat
43,15,0.2314453125,64972,Ġcalming
47,16,0.181640625,259,Ġa
48,17,0.69921875,5209,Ġsense
49,18,1.0,300,Ġof
51,19,0.76171875,301,Ġand
53,20,0.6328125,13,.
50,21,0.474609375,8935,Ġpeace
52,22,0.6015625,119317,Ġtranquility
46,23,0.283203125,11284,Ġbrings
54,24,0.515625,963,ĠIt
56,25,0.275390625,297,Ġto
55,26,0.953125,5132,Ġseems
58,27,0.166015625,268,Ġthe
60,28,0.185546875,300,Ġof
57,29,0.470703125,81160,Ġamplify
59,30,0.8359375,7405,Ġfeeling
61,31,0.65625,97998,Ġsolitude
62,32,0.76171875,11,","
63,33,0.3515625,10545,Ġallowing
65,34,0.67578125,297,Ġto
66,35,0.515625,3630,Ġconnect
67,36,0.57421875,391,Ġwith
68,37,0.62109375,802,Ġtheir
64,38,0.61328125,6083,Ġindividuals
69,39,0.55078125,11605,Ġinner
70,40,0.71484375,74635,Ġselves
71,41,0.6171875,301,Ġand
72,42,0.24609375,1491,Ġfind
74,43,0.5859375,296,Ġin
73,44,0.5859375,99961,Ġsolace
75,45,0.62109375,802,Ġtheir
77,46,0.47265625,13,.
76,47,0.3984375,8960,Ġthoughts
78,48,0.28515625,10796,ĠIts
79,49,0.408203125,7831,Ġpresence
81,50,0.2099609375,259,Ġa
80,51,0.30859375,12884,Ġcreates
82,52,0.6953125,88312,Ġserene
83,53,0.6796875,15417,Ġatmosphere
84,54,0.48046875,11,","
85,55,0.2734375,63478,Ġfostering
93,56,1.0,126081,<|endoftext|>
92,57,0.953125,126348,<|eot_id|>
91,58,0.99609375,13,.
88,59,0.470703125,301,Ġand
86,60,0.61328125,1346,Ġself
87,61,0.96875,102348,-reflection
90,62,0.71875,5003,Ġgrowth
89,63,0.96484375,3379,Ġpersonal
