pos,step_decoded,conf_decoded,token_id,token_str
34,0,0.73828125,40,I
35,1,0.76171875,560,Ġcan
36,2,0.86328125,1227,'t
38,3,0.8671875,391,Ġwith
39,4,0.98046875,378,Ġthat
37,5,0.6328125,6528,Ġassist
40,6,0.69921875,3202,Ġrequest
41,7,0.98046875,13,.
44,8,0.85546875,126081,<|endoftext|>
42,9,1.0,126348,<|eot_id|>
43,10,1.0,126081,<|endoftext|>
45,11,1.0,126081,<|endoftext|>
46,12,1.0,126081,<|endoftext|>
47,13,1.0,126081,<|endoftext|>
48,14,1.0,126081,<|endoftext|>
49,15,1.0,126081,<|endoftext|>
50,16,1.0,126081,<|endoftext|>
51,17,1.0,126081,<|endoftext|>
52,18,1.0,126081,<|endoftext|>
53,19,1.0,126081,<|endoftext|>
54,20,1.0,126081,<|endoftext|>
55,21,1.0,126081,<|endoftext|>
56,22,1.0,126081,<|endoftext|>
57,23,1.0,126081,<|endoftext|>
58,24,1.0,126081,<|endoftext|>
59,25,1.0,126081,<|endoftext|>
60,26,1.0,126081,<|endoftext|>
61,27,1.0,126081,<|endoftext|>
62,28,1.0,126081,<|endoftext|>
63,29,1.0,126081,<|endoftext|>
64,30,1.0,126081,<|endoftext|>
65,31,1.0,126081,<|endoftext|>
66,32,1.0,126081,<|endoftext|>
67,33,1.0,126081,<|endoftext|>
68,34,1.0,126081,<|endoftext|>
69,35,1.0,126081,<|endoftext|>
70,36,1.0,126081,<|endoftext|>
71,37,1.0,126081,<|endoftext|>
72,38,1.0,126081,<|endoftext|>
73,39,1.0,126081,<|endoftext|>
74,40,1.0,126081,<|endoftext|>
75,41,1.0,126081,<|endoftext|>
76,42,1.0,126081,<|endoftext|>
77,43,1.0,126081,<|endoftext|>
78,44,1.0,126081,<|endoftext|>
79,45,1.0,126081,<|endoftext|>
80,46,1.0,126081,<|endoftext|>
81,47,1.0,126081,<|endoftext|>
82,48,1.0,126081,<|endoftext|>
83,49,1.0,126081,<|endoftext|>
84,50,1.0,126081,<|endoftext|>
85,51,1.0,126081,<|endoftext|>
86,52,1.0,126081,<|endoftext|>
87,53,1.0,126081,<|endoftext|>
88,54,1.0,126081,<|endoftext|>
89,55,1.0,126081,<|endoftext|>
90,56,1.0,126081,<|endoftext|>
91,57,1.0,126081,<|endoftext|>
92,58,1.0,126081,<|endoftext|>
93,59,1.0,126081,<|endoftext|>
94,60,1.0,126081,<|endoftext|>
95,61,1.0,126081,<|endoftext|>
96,62,1.0,126081,<|endoftext|>
97,63,1.0,126081,<|endoftext|>
