pos,step_decoded,conf_decoded,token_id,token_str
28,0,0.43359375,846,In
30,1,0.77734375,1931,Ġworld
29,2,0.83203125,259,Ġa
31,3,0.87109375,1387,Ġwhere
35,4,0.9140625,297,Ġto
32,5,1.0,1037,Ġno
33,6,1.0,810,Ġone
34,7,0.9921875,3393,Ġneeds
36,8,1.0,6476,Ġsleep
37,9,0.9921875,11,","
38,10,0.640625,8448,Ġsociety
39,11,0.70703125,1017,Ġwould
40,12,0.271484375,4516,Ġlikely
41,13,0.26953125,3588,Ġbecome
42,14,0.640625,778,Ġmore
43,15,0.359375,23124,Ġproductive
44,16,0.451171875,301,Ġand
45,17,0.63671875,8211,Ġefficient
46,18,0.54296875,13,.
47,19,0.5546875,8550,ĠPeople
48,20,0.63671875,1017,Ġwould
51,21,0.4453125,297,Ġto
49,22,0.90234375,367,Ġbe
50,23,0.98046875,2766,Ġable
52,24,0.408203125,962,Ġwork
53,25,0.45703125,5195,Ġlonger
54,26,0.984375,3871,Ġhours
55,27,0.486328125,301,Ġand
56,28,0.40625,16566,Ġaccomplish
57,29,0.98828125,778,Ġmore
58,30,0.369140625,9947,Ġtasks
59,31,0.4921875,13,.
61,32,0.890625,11,","
60,33,0.96875,3260,ĠHowever
64,34,0.66015625,911,Ġalso
62,35,0.57421875,403,Ġit
65,36,0.6484375,2051,Ġlead
66,37,1.0,297,Ġto
63,38,0.671875,1402,Ġcould
67,39,0.1884765625,4152,Ġissues
68,40,0.453125,1435,Ġsuch
69,41,1.0,409,Ġas
72,42,0.375,11,","
75,43,0.380859375,301,Ġand
74,44,0.97265625,11,","
71,45,0.3203125,65615,Ġdeprivation
70,46,0.9921875,6476,Ġsleep
73,47,0.5078125,30151,Ġfatigue
76,48,0.3828125,17444,Ġdecreased
77,49,0.33984375,9198,Ġmental
78,50,0.48828125,301,Ġand
79,51,0.99609375,5896,Ġphysical
80,52,0.7734375,2247,Ġhealth
82,53,0.51953125,126348,<|eot_id|>
81,54,1.0,13,.
83,55,1.0,126081,<|endoftext|>
84,56,1.0,126081,<|endoftext|>
85,57,1.0,126081,<|endoftext|>
86,58,1.0,126081,<|endoftext|>
87,59,1.0,126081,<|endoftext|>
88,60,1.0,126081,<|endoftext|>
89,61,1.0,126081,<|endoftext|>
90,62,1.0,126081,<|endoftext|>
91,63,1.0,126081,<|endoftext|>
