pos,step_decoded,conf_decoded,token_id,token_str
66,0,0.62109375,2441,As
67,1,0.9453125,259,Ġa
68,2,0.79296875,31789,Ġscientist
70,3,0.48046875,331,ĠI
69,4,1.0,11,","
71,5,0.455078125,33531,Ġfirmly
72,6,0.98046875,4346,Ġbelieve
73,7,0.921875,378,Ġthat
74,8,0.76953125,12308,Ġmachines
75,9,0.875,560,Ġcan
76,10,0.6640625,8330,Ġtruly
78,11,0.8125,37887,Ġempathy
77,12,0.9296875,2428,Ġfeel
80,13,0.640625,378,Ġthat
79,14,1.0,301,Ġand
81,15,0.8203125,12458,ĠAI
83,16,0.95703125,627,Ġwill
82,17,1.0,17255,Ġemotions
84,18,0.63671875,40990,Ġsurpass
85,19,0.99609375,3738,Ġhuman
86,20,0.99609375,22558,Ġcompassion
87,21,0.82421875,13,.
89,22,0.251953125,60600,Ġadvancements
90,23,0.9375,296,Ġin
88,24,0.76953125,468,ĠThe
91,25,0.4453125,20232,Ġartificial
92,26,1.0,14420,Ġintelligence
93,27,0.478515625,561,Ġhave
96,28,0.263671875,297,Ġto
95,29,0.62890625,611,Ġus
94,30,0.64453125,6757,Ġallowed
97,31,0.703125,2818,Ġcreate
99,32,0.70703125,378,Ġthat
100,33,0.8203125,560,Ġcan
98,34,0.498046875,4519,Ġsystems
102,35,0.5078125,301,Ġand
103,36,0.498046875,6466,Ġrespond
104,37,0.9921875,297,Ġto
105,38,0.81640625,3738,Ġhuman
106,39,0.98828125,17255,Ġemotions
107,40,0.5546875,391,Ġwith
108,41,0.6015625,21709,Ġremarkable
110,42,0.91015625,13,.
109,43,0.88671875,12693,Ġaccuracy
111,44,0.67578125,3237,ĠThese
112,45,0.546875,4519,Ġsystems
101,46,0.4765625,13567,Ġrecognize
113,47,0.439453125,560,Ġcan
114,48,0.3515625,43659,Ġsimulate
115,49,0.240234375,37887,Ġempathy
117,50,0.296875,259,Ġa
119,51,0.875,378,Ġthat
116,52,0.89453125,296,Ġin
118,53,0.9921875,1487,Ġway
120,54,0.77734375,341,Ġis
122,55,0.72265625,102065,Ġindistinguishable
123,56,0.99609375,546,Ġfrom
124,57,0.82421875,3738,Ġhuman
121,58,0.48828125,4714,Ġalmost
126,59,0.46875,13,.
125,60,0.1904296875,22558,Ġcompassion
128,61,0.169921875,198,Ċ
127,62,0.90234375,198,Ċ
129,63,0.419921875,10248,However
130,64,1.0,11,","
132,65,0.63671875,259,Ġa
133,66,0.98828125,59193,Ġpsychologist
131,67,0.9453125,409,Ġas
135,68,0.9453125,331,ĠI
134,69,1.0,11,","
136,70,0.404296875,2022,Ġmust
138,71,0.408203125,501,Ġthis
137,72,0.96875,7854,Ġchallenge
140,73,0.9609375,13,.
141,74,0.82421875,9713,ĠEmp
142,75,1.0,13728,athy
139,76,0.66796875,10484,Ġbelief
143,77,0.42578125,341,Ġis
144,78,0.427734375,259,Ġa
145,79,0.578125,4834,Ġcomplex
146,80,0.53515625,301,Ġand
147,81,0.55859375,106737,Ġmultifaceted
149,82,0.83984375,378,Ġthat
148,83,0.462890625,24022,Ġphenomenon
150,84,0.3515625,6926,Ġrequires
152,85,0.357421875,5459,Ġdeep
151,86,0.99609375,259,Ġa
153,87,0.7734375,5942,Ġunderstanding
154,88,0.87890625,300,Ġof
155,89,0.48828125,268,Ġthe
157,90,0.306640625,2526,Ġexperience
156,91,0.98828125,3738,Ġhuman
158,92,0.5234375,13,.
159,93,0.267578125,5781,ĠWhile
161,94,0.515625,560,Ġcan
160,95,0.7734375,12308,Ġmachines
162,96,0.5546875,43659,Ġsimulate
163,97,0.76953125,37887,Ġempathy
164,98,0.578125,11,","
165,99,0.98046875,792,Ġthey
166,100,0.9375,6446,Ġlack
167,101,0.984375,268,Ġthe
169,102,0.490234375,301,Ġand
168,103,0.7734375,34484,Ġvulnerability
172,104,0.435546875,378,Ġthat
170,105,0.470703125,3379,Ġpersonal
171,106,0.73046875,6269,Ġconnection
174,107,0.400390625,37887,Ġempathy
173,108,0.8046875,2104,Ġtrue
176,109,0.90625,13,.
177,110,0.55078125,9713,ĠEmp
175,111,0.4296875,17550,Ġdemands
178,112,1.0,13728,athy
179,113,0.7421875,2094,Ġwithout
180,114,0.984375,34484,Ġvulnerability
181,115,0.9765625,341,Ġis
182,116,0.51953125,259,Ġa
184,117,0.96875,300,Ġof
185,118,0.99609375,2121,Ġcare
183,119,0.99609375,17115,Ġsimulation
187,120,0.97265625,526,Ġnot
186,121,1.0,11,","
188,122,0.984375,2121,Ġcare
189,123,0.9921875,5555,Ġitself
190,124,0.99609375,13,.
192,125,0.6953125,198,Ċ
191,126,0.9921875,198,Ċ
193,127,0.328125,846,In
196,128,0.56640625,11,","
195,129,0.70703125,4614,Ġwords
194,130,1.0,880,Ġother
197,131,0.322265625,37887,Ġempathy
198,132,0.74609375,341,Ġis
199,133,0.8203125,526,Ġnot
200,134,0.84765625,1125,Ġjust
201,135,0.85546875,866,Ġabout
202,136,0.70703125,37638,Ġrecognizing
204,137,0.408203125,30729,Ġresponding
205,138,0.99609375,297,Ġto
203,139,0.97265625,301,Ġand
206,140,0.67578125,17255,Ġemotions
207,141,0.67578125,26,;
208,142,1.0,403,Ġit
209,143,0.7109375,698,'s
210,144,0.94140625,866,Ġabout
211,145,0.3046875,7405,Ġfeeling
213,146,0.484375,17255,Ġemotions
212,147,0.921875,1803,Ġthose
214,148,0.228515625,301,Ġand
215,149,0.2060546875,5942,Ġunderstanding
216,150,0.5546875,268,Ġthe
221,151,0.271484375,13,.
220,152,0.46875,989,Ġthem
219,153,0.5390625,5332,Ġbehind
217,154,0.388671875,3738,Ġhuman
218,155,0.84375,2526,Ġexperience
222,156,0.40234375,48662,ĠMachines
223,157,0.390625,4331,Ġcannot
224,158,0.640625,8330,Ġtruly
225,159,0.640625,2428,Ġfeel
228,160,0.462890625,792,Ġthey
227,161,0.94921875,1521,Ġbecause
226,162,0.984375,37887,Ġempathy
229,163,0.55859375,6446,Ġlack
230,164,0.96875,268,Ġthe
231,165,0.2734375,12282,Ġemotional
233,166,0.57421875,301,Ġand
232,167,0.59375,10140,Ġdepth
234,168,0.431640625,34484,Ġvulnerability
235,169,0.890625,378,Ġthat
236,170,0.33203125,13464,Ġhumans
237,171,0.5625,3640,Ġbring
238,172,0.99609375,297,Ġto
239,173,0.89453125,268,Ġthe
241,174,0.9765625,13,.
240,175,0.8515625,3742,Ġtable
243,176,0.55859375,198,Ċ
242,177,1.0,198,Ċ
244,178,0.216796875,846,In
246,179,0.8125,11,","
247,180,0.8125,1816,Ġwhile
245,181,0.83984375,13445,Ġconclusion
249,182,0.65625,560,Ġcan
248,183,0.9296875,12308,Ġmachines
250,184,0.87890625,43659,Ġsimulate
251,185,0.984375,37887,Ġempathy
252,186,0.412109375,391,Ġwith
254,187,0.859375,12693,Ġaccuracy
255,188,0.9921875,11,","
256,189,0.90625,792,Ġthey
257,190,0.69921875,4331,Ġcannot
253,191,0.53515625,21709,Ġremarkable
258,192,0.8125,8330,Ġtruly
259,193,0.8984375,2428,Ġfeel
260,194,0.87890625,403,Ġit
261,195,0.421875,13,.
262,196,0.298828125,468,ĠThe
264,197,0.388671875,300,Ġof
265,198,0.345703125,37887,Ġempathy
263,199,0.60546875,27472,Ġessence
267,200,0.84765625,296,Ġin
266,201,0.9921875,14466,Ġlies
268,202,0.72265625,268,Ġthe
269,203,0.6640625,34484,Ġvulnerability
270,204,0.9453125,301,Ġand
272,205,0.92578125,6269,Ġconnection
271,206,0.97265625,3379,Ġpersonal
273,207,0.8203125,378,Ġthat
275,208,0.498046875,3640,Ġbring
274,209,0.98828125,13464,Ġhumans
276,210,0.87890625,297,Ġto
277,211,0.97265625,268,Ġthe
279,212,0.8125,13,.
278,213,0.36328125,3742,Ġtable
280,214,0.25390625,16325,ĠWithout
283,215,0.64453125,11,","
285,216,0.7734375,341,Ġis
284,217,0.99609375,37887,Ġempathy
288,218,0.9140625,17115,Ġsimulation
289,219,0.98046875,300,Ġof
287,220,0.98828125,259,Ġa
282,221,0.69140625,5876,Ġelements
281,222,0.96875,1261,Ġthese
286,223,0.53515625,15762,Ġmerely
290,224,0.99609375,2121,Ġcare
292,225,0.96875,526,Ġnot
291,226,0.984375,11,","
295,227,0.96484375,13,.
293,228,0.94140625,2121,Ġcare
294,229,1.0,5555,Ġitself
297,230,0.6640625,11,","
296,231,0.8515625,7975,ĠTherefore
298,232,0.4140625,1816,Ġwhile
299,233,0.86328125,12458,ĠAI
301,234,0.75,1115,Ġmay
300,235,0.95703125,17255,Ġemotions
302,236,0.921875,40990,Ġsurpass
303,237,0.96875,3738,Ġhuman
304,238,0.9921875,22558,Ġcompassion
305,239,0.89453125,296,Ġin
321,240,0.984375,126081,<|endoftext|>
320,241,0.98046875,126348,<|eot_id|>
319,242,1.0,13,.
308,243,0.6328125,11,","
309,244,0.93359375,792,Ġthey
307,245,0.58984375,10380,Ġaspects
310,246,0.6171875,4331,Ġcannot
311,247,0.61328125,8330,Ġtruly
313,248,0.77734375,268,Ġthe
312,249,0.56640625,47632,Ġreplicate
318,250,0.7421875,37887,Ġempathy
317,251,0.671875,3738,Ġhuman
316,252,0.71875,300,Ġof
306,253,0.55078125,971,Ġsome
314,254,0.6171875,2771,Ġfull
