pos,step_decoded,conf_decoded,token_id,token_str
45,0,0.73828125,475,os
44,1,1.0,81108,Cha
46,2,0.458984375,11,","
47,3,0.5,3327,Ġoften
49,4,0.59375,409,Ġas
50,5,0.50390625,259,Ġa
52,6,0.578125,300,Ġof
56,7,0.6640625,11,","
54,8,0.9453125,301,Ġand
53,9,0.75390625,18242,Ġdisorder
48,10,0.59375,24746,Ġperceived
57,11,0.5390625,341,Ġis
51,12,0.435546875,3757,Ġsource
59,13,0.39453125,259,Ġa
58,14,0.92578125,3555,Ġactually
55,15,0.5078125,23674,Ġdestruction
60,16,0.78515625,14289,Ġvital
61,17,0.921875,29732,Ġingredient
62,18,0.97265625,352,Ġfor
64,19,0.94140625,301,Ġand
66,20,0.9765625,13,.
65,21,0.99609375,12408,Ġevolution
63,22,0.9921875,20510,Ġcreativity
67,23,0.333984375,963,ĠIt
68,24,0.6953125,341,Ġis
69,25,0.47265625,268,Ġthe
71,26,0.244140625,300,Ġof
74,27,0.1962890625,11,","
75,28,0.349609375,268,Ġthe
72,29,0.49609375,268,Ġthe
73,30,0.57421875,12398,Ġunknown
70,31,0.3359375,22797,Ġembrace
77,32,0.50390625,300,Ġof
80,33,0.4765625,11,","
82,34,0.8828125,268,Ġthe
81,35,0.99609375,301,Ġand
78,36,0.5859375,268,Ġthe
76,37,0.65625,22304,Ġexploration
84,38,0.53125,300,Ġof
79,39,0.361328125,49428,Ġunpredictable
87,40,0.244140625,378,Ġthat
85,41,0.44921875,268,Ġthe
90,42,0.3046875,297,Ġto
89,43,0.412109375,611,Ġus
88,44,0.349609375,20603,Ġdrives
83,45,0.296875,32803,Ġpursuit
91,46,0.216796875,8058,Ġpush
86,47,0.1298828125,75501,Ġunconventional
92,48,0.81640625,268,Ġthe
93,49,0.97265625,20209,Ġboundaries
94,50,0.97265625,300,Ġof
95,51,0.470703125,869,Ġour
97,52,0.5078125,301,Ġand
96,53,0.431640625,26201,Ġimagination
99,54,0.287109375,782,Ġnew
101,55,0.53125,13,.
100,56,0.6328125,19823,Ġpossibilities
98,57,0.28125,9442,Ġdiscover
102,58,0.291015625,198,Ċ
103,59,1.0,198,Ċ
106,60,0.421875,11,","
104,61,0.671875,26493,Without
105,62,0.75,2238,Ġorder
107,63,0.73828125,31826,Ġchaos
110,64,0.8359375,1119,Ġinto
111,65,0.91015625,11666,Ġnoise
112,66,0.95703125,11,","
108,67,0.87890625,98768,Ġdegener
109,68,1.0,1068,ates
114,69,0.859375,3938,asing
113,70,1.0,7896,Ġer
117,71,0.88671875,3779,Ġonce
115,72,1.0,1053,Ġwhat
116,73,1.0,403,Ġit
118,74,1.0,13274,Ġinspired
119,75,0.984375,13,.
120,76,0.2353515625,5252,ĠJust
121,77,0.9765625,409,Ġas
122,78,0.390625,259,Ġa
123,79,0.482421875,116335,Ġsymphony
124,80,0.19921875,341,Ġis
125,81,0.279296875,259,Ġa
127,82,0.546875,300,Ġof
129,83,0.44921875,10244,Ġnotes
126,84,0.5703125,6049,Ġcollection
128,85,0.3671875,3182,Ġindividual
130,86,0.26171875,11,","
131,87,0.333984375,731,Ġbut
132,88,0.49609375,1191,Ġonly
133,89,0.64453125,950,Ġwhen
135,90,0.58984375,10244,Ġnotes
136,91,0.93359375,449,Ġare
134,92,0.88671875,1803,Ġthose
138,93,0.43359375,296,Ġin
137,94,0.7734375,23202,Ġarranged
139,95,0.77734375,259,Ġa
140,96,0.59375,94984,Ġharmonious
143,97,0.71484375,792,Ġthey
144,98,0.76171875,2818,Ġcreate
142,99,0.79296875,640,Ġdo
145,100,0.46484375,2540,Ġsomething
146,101,0.578125,8330,Ġtruly
147,102,0.82421875,5071,Ġbeautiful
148,103,0.8203125,11,","
149,104,0.828125,31826,Ġchaos
150,105,0.2890625,2022,Ġmust
151,106,0.9140625,367,Ġbe
152,107,0.32421875,26075,Ġguided
153,108,0.48828125,301,Ġand
155,109,0.5703125,297,Ġto
154,110,0.55078125,26180,Ġstructured
141,111,0.271484375,1487,Ġway
157,112,0.412109375,1097,Ġits
159,113,0.65625,3880,Ġpotential
160,114,0.96875,13,.
156,115,0.64453125,22138,Ġunlock
158,116,0.625,9522,Ġcreative
162,117,0.6015625,198,Ċ
161,118,1.0,198,Ċ
163,119,0.36328125,846,In
167,120,0.609375,31826,Ġchaos
166,121,0.7578125,11,","
168,122,0.51953125,341,Ġis
165,123,0.6484375,5209,Ġsense
164,124,0.9453125,501,Ġthis
169,125,0.515625,526,Ġnot
170,126,0.609375,259,Ġa
171,127,0.06787109375,6487,Ġforce
172,128,0.94921875,297,Ġto
173,129,0.984375,367,Ġbe
174,130,0.94140625,50369,Ġfeared
176,131,0.8515625,731,Ġbut
175,132,1.0,11,","
177,133,0.77734375,4571,Ġrather
178,134,0.90234375,259,Ġa
179,135,0.73046875,35599,Ġcatalyst
180,136,0.796875,352,Ġfor
182,137,0.640625,301,Ġand
184,138,0.8984375,13,.
185,139,0.81640625,963,ĠIt
186,140,0.6484375,341,Ġis
187,141,0.8125,268,Ġthe
181,142,0.64453125,5003,Ġgrowth
183,143,0.6484375,14023,Ġtransformation
189,144,0.349609375,300,Ġof
192,145,0.2255859375,11,","
193,146,0.64453125,268,Ġthe
195,147,0.6171875,300,Ġof
200,148,0.5546875,268,Ġthe
198,149,0.98046875,11,","
199,150,0.99609375,301,Ġand
202,151,0.6875,300,Ġof
196,152,0.55078125,268,Ġthe
190,153,0.8125,268,Ġthe
203,154,0.7578125,268,Ġthe
201,155,0.166015625,22278,Ġcelebration
194,156,0.271484375,22304,Ġexploration
188,157,0.31640625,44373,Ġembracing
197,158,0.2578125,12398,Ġunknown
191,159,0.2421875,17096,Ġunexpected
205,160,0.80859375,378,Ġthat
207,161,0.6875,611,Ġus
208,162,0.859375,297,Ġto
204,163,0.42578125,75501,Ġunconventional
206,164,0.3828125,5510,Ġallows
209,165,0.32421875,34543,Ġevolve
210,166,0.78125,301,Ġand
211,167,0.34765625,8630,Ġadapt
212,168,0.69140625,297,Ġto
214,169,0.71875,3688,Ġever
215,170,0.99609375,42518,-changing
216,171,0.97265625,1931,Ġworld
213,172,0.8671875,289,Ġan
217,173,1.0,13,.
218,174,0.69140625,198,Ċ
219,175,1.0,198,Ċ
221,176,0.55859375,11,","
220,177,0.48828125,10248,However
222,178,0.322265625,403,Ġit
223,179,0.9375,341,Ġis
225,180,0.92578125,297,Ġto
227,181,0.77734375,378,Ġthat
226,182,0.64453125,23349,Ġacknowledge
224,183,0.59765625,5143,Ġessential
228,184,0.330078125,31826,Ġchaos
229,185,0.31640625,11,","
233,186,0.361328125,11,","
234,187,0.62890625,560,Ġcan
231,188,0.64453125,2914,Ġleft
232,189,0.9296875,79418,Ġunchecked
230,190,0.9140625,624,Ġif
235,191,0.4453125,2051,Ġlead
236,192,1.0,297,Ġto
238,193,0.73828125,301,Ġand
240,194,0.72265625,13,.
239,195,0.73828125,23674,Ġdestruction
237,196,0.7578125,18242,Ġdisorder
241,197,0.455078125,963,ĠIt
242,198,0.9453125,341,Ġis
244,199,0.4140625,297,Ġto
243,200,0.92578125,760,Ġup
245,201,0.9609375,611,Ġus
246,202,0.51171875,297,Ġto
251,203,0.4765625,31826,Ġchaos
248,204,0.6328125,268,Ġthe
247,205,0.625,37149,Ġharness
250,206,0.99609375,300,Ġof
249,207,0.96484375,2548,Ġpower
252,208,0.3828125,301,Ġand
254,209,0.76953125,403,Ġit
253,210,0.47265625,7875,Ġchannel
255,211,0.52734375,1119,Ġinto
256,212,0.53515625,2540,Ġsomething
258,213,0.53515625,301,Ġand
260,214,0.54296875,13,.
264,215,0.296875,11,","
262,216,0.58203125,3686,Ġdoing
263,217,1.0,740,Ġso
265,218,0.9921875,438,Ġwe
266,219,0.91796875,560,Ġcan
261,220,0.921875,3893,ĠBy
267,221,0.6796875,22138,Ġunlock
257,222,0.30859375,18707,Ġmeaningful
259,223,0.470703125,96298,Ġpurposeful
268,224,0.78515625,268,Ġthe
270,225,0.458984375,3880,Ġpotential
269,226,0.75,9522,Ġcreative
272,227,0.75,31826,Ġchaos
271,228,0.90234375,300,Ġof
273,229,0.87890625,301,Ġand
275,230,0.400390625,403,Ġit
276,231,0.5859375,297,Ġto
274,232,0.9609375,1071,Ġuse
277,233,0.74609375,5980,Ġdrive
278,234,0.33984375,13934,Ġinnovation
279,235,0.796875,11,","
282,236,0.90234375,301,Ġand
281,237,0.98828125,11,","
280,238,0.6015625,6555,Ġprogress
283,239,0.54296875,12408,Ġevolution
299,240,0.94921875,126081,<|endoftext|>
285,241,0.65625,4571,Ġrather
284,242,1.0,11,","
286,243,1.0,1040,Ġthan
297,244,0.9453125,13,.
298,245,1.0,126348,<|eot_id|>
288,246,0.7578125,403,Ġit
287,247,0.6015625,10545,Ġallowing
289,248,1.0,297,Ġto
293,249,0.423828125,11666,Ġnoise
294,250,0.8828125,301,Ġand
292,251,0.82421875,1119,Ġinto
291,252,0.76953125,393,ate
290,253,0.9765625,62702,Ġdissip
295,254,0.427734375,860,Ġdis
296,255,0.9453125,4651,array
