pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.77734375,71325,Ġminimalist
47,1,0.99609375,5910,Ġdigital
48,2,1.0,14886,Ġlifestyle
45,3,0.95703125,678,The
50,4,0.4375,3327,Ġoften
49,5,0.859375,341,Ġis
52,6,0.7578125,409,Ġas
53,7,0.8671875,259,Ġa
56,8,0.53515625,72802,Ġliberation
57,9,0.921875,546,Ġfrom
55,10,0.59375,300,Ġof
54,11,0.59375,1627,Ġform
51,12,0.68359375,47589,Ġpraised
60,13,0.6484375,13,.
58,14,0.99609375,1698,Ġinformation
59,15,0.99609375,44978,Ġoverload
61,16,0.71875,3893,ĠBy
62,17,0.396484375,14400,Ġreducing
63,18,0.671875,268,Ġthe
65,19,0.85546875,300,Ġof
64,20,0.82421875,3699,Ġamount
66,21,0.466796875,1354,Ġdata
67,22,0.47265625,810,Ġone
68,23,0.765625,80057,Ġconsumes
69,24,0.61328125,11,","
70,25,0.78125,6083,Ġindividuals
71,26,0.796875,560,Ġcan
73,27,0.2001953125,259,Ġa
75,28,0.396484375,300,Ġof
74,29,0.7578125,5209,Ġsense
76,30,0.7578125,27825,Ġclarity
72,31,0.6328125,6578,Ġachieve
77,32,0.9453125,301,Ġand
78,33,0.51953125,3476,Ġfocus
79,34,0.578125,11,","
80,35,0.171875,85180,Ġfreeing
81,36,0.87109375,5836,Ġthemselves
82,37,1.0,546,Ġfrom
83,38,0.921875,268,Ġthe
84,39,0.8984375,6150,Ġconstant
86,40,0.87890625,543,age
85,41,1.0,83212,Ġbarr
87,42,1.0,300,Ġof
88,43,0.91015625,1698,Ġinformation
89,44,0.93359375,378,Ġthat
90,45,0.71484375,560,Ġcan
91,46,0.83203125,367,Ġbe
92,47,0.80078125,23246,Ġoverwhelming
93,48,0.87890625,13,.
94,49,0.86328125,1077,ĠThis
95,50,0.318359375,4909,Ġapproach
96,51,0.59765625,5510,Ġallows
97,52,0.71875,352,Ġfor
98,53,0.765625,259,Ġa
99,54,0.46484375,778,Ġmore
101,55,0.609375,301,Ġand
104,56,0.421875,11,","
