pos,step_decoded,conf_decoded,token_id,token_str
53,0,0.80859375,4871,etic
52,1,1.0,12705,Gen
54,2,1.0,18653,Ġediting
56,3,0.4296875,268,Ġthe
58,4,0.6875,300,Ġof
59,5,0.86328125,259,Ġa
55,6,0.796875,10904,Ġrepresents
57,7,0.8984375,42654,Ġdawn
62,8,0.72265625,43099,Ġcivilization
61,9,0.99609375,10437,-free
60,10,1.0,6199,Ġdisease
63,11,0.52734375,11,","
64,12,0.53125,8961,Ġoffering
67,13,0.60546875,297,Ġto
66,14,0.90234375,3880,Ġpotential
65,15,0.8515625,268,Ġthe
68,16,0.8515625,96507,Ġeradicate
69,17,0.57421875,16210,Ġgenetic
70,18,0.85546875,19438,Ġdisorders
71,19,0.8515625,301,Ġand
73,20,0.5078125,3738,Ġhuman
72,21,0.7890625,10226,Ġenhance
75,22,0.7734375,13,.
74,23,0.53515625,15567,Ġcapabilities
76,24,0.27734375,3260,ĠHowever
77,25,1.0,11,","
78,26,0.287109375,501,Ġthis
80,27,0.26953125,911,Ġalso
82,28,0.6171875,3741,Ġsignificant
83,29,0.80078125,22297,Ġethical
79,30,0.53515625,4512,Ġtechnology
81,31,0.41015625,38427,Ġposes
84,32,0.60546875,301,Ġand
85,33,0.87109375,41942,Ġsocietal
86,34,0.83984375,7649,Ġchallenges
87,35,0.546875,13,.
88,36,0.3984375,198,Ċ
89,37,1.0,198,Ċ
90,38,0.4921875,5146,One
93,39,0.609375,341,Ġis
94,40,0.9453125,268,Ġthe
91,41,0.87890625,3649,Ġmajor
92,42,0.91015625,5274,Ġconcern
96,43,0.59765625,352,Ġfor
95,44,0.99609375,3880,Ġpotential
97,45,0.443359375,48476,Ġexacerb
98,46,1.0,1209,ating
99,47,0.8671875,22719,Ġinequality
100,48,0.94140625,13,.
101,49,0.447265625,69385,ĠGenetic
102,50,0.390625,56179,Ġenhancements
103,51,0.546875,1402,Ġcould
104,52,0.6171875,2818,Ġcreate
105,53,0.83984375,259,Ġa
106,54,0.48828125,782,Ġnew
108,55,0.48046875,300,Ġof
107,56,0.47265625,1248,Ġclass
109,57,0.37109375,477,"Ġ"""
110,58,0.34765625,16590,super
111,59,0.7734375,42421,hum
112,60,1.0,691,ans
113,61,0.75390625,1,""""
114,62,0.54296875,391,Ġwith
115,63,0.51171875,16207,Ġsuperior
116,64,0.4375,5896,Ġphysical
117,65,0.84765625,301,Ġand
120,66,0.92578125,11,","
118,67,0.7734375,20575,Ġcognitive
119,68,0.95703125,18421,Ġabilities
121,69,0.447265625,1816,Ġwhile
122,70,0.412109375,268,Ġthe
124,71,0.83984375,300,Ġof
126,72,0.91015625,6842,Ġpopulation
125,73,1.0,268,Ġthe
123,74,0.578125,2373,Ġrest
128,75,0.2333984375,297,Ġto
127,76,0.88671875,10301,Ġcontinues
130,77,0.64453125,391,Ġwith
129,78,0.8359375,15308,Ġstruggle
131,79,0.32421875,16210,Ġgenetic
133,80,0.8359375,13,.
134,81,0.98828125,1077,ĠThis
135,82,0.78125,1402,Ġcould
136,83,0.89453125,2051,Ġlead
137,84,1.0,297,Ġto
138,85,0.455078125,259,Ġa
132,86,0.369140625,11738,Ġlimitations
140,87,0.2373046875,19107,Ġdivide
141,88,0.46875,11,","
142,89,0.6796875,1387,Ġwhere
143,90,0.58984375,268,Ġthe
139,91,0.4140625,41942,Ġsocietal
145,92,0.345703125,301,Ġand
146,93,0.55078125,268,Ġthe
144,94,0.34765625,9765,Ġrich
147,95,0.326171875,8136,Ġpowerful
148,96,0.29296875,561,Ġhave
150,97,0.796875,297,Ġto
149,98,0.99609375,2695,Ġaccess
154,99,0.369140625,1816,Ġwhile
153,100,0.85546875,11,","
152,101,0.7109375,56179,Ġenhancements
155,102,0.75390625,268,Ġthe
151,103,0.69140625,16210,Ġgenetic
157,104,0.494140625,301,Ġand
156,105,0.73828125,7869,Ġpoor
158,106,0.73828125,268,Ġthe
160,107,0.6875,449,Ġare
161,108,0.8515625,2914,Ġleft
159,109,0.77734375,77812,Ġmarginalized
163,110,0.8125,13,.
162,111,0.99609375,5332,Ġbehind
165,112,0.9921875,198,Ċ
164,113,1.0,198,Ċ
167,114,0.8046875,11,","
168,115,0.87890625,268,Ġthe
169,116,0.95703125,32803,Ġpursuit
170,117,1.0,300,Ġof
171,118,0.6640625,35509,Ġperfection
172,119,0.93359375,1352,Ġthrough
173,120,1.0,16210,Ġgenetic
175,121,0.95703125,1402,Ġcould
176,122,0.69140625,2051,Ġlead
177,123,0.99609375,297,Ġto
178,124,0.44140625,259,Ġa
166,125,0.431640625,37835,Additionally
179,126,0.408203125,6951,Ġculture
174,127,0.40234375,18653,Ġediting
180,128,0.9921875,300,Ġof
181,129,0.99609375,49075,Ġvanity
182,130,0.70703125,301,Ġand
185,131,0.34765625,13,.
183,132,0.94140625,17721,Ġmoral
184,133,0.9765625,24798,Ġcollapse
187,134,0.2734375,6083,Ġindividuals
186,135,0.6953125,1965,ĠAs
189,136,0.349609375,297,Ġto
191,137,0.640625,802,Ġtheir
190,138,0.6796875,10226,Ġenhance
188,139,0.79296875,6503,Ġseek
194,140,0.3359375,11,","
195,141,0.82421875,792,Ġthey
192,142,0.59375,16210,Ġgenetic
193,143,0.71484375,23521,Ġmakeup
196,144,0.9765625,1115,Ġmay
197,145,0.73828125,3588,Ġbecome
200,146,0.4453125,391,Ġwith
199,147,0.70703125,12201,Ġconcerned
198,148,0.6953125,778,Ġmore
201,149,0.365234375,802,Ġtheir
202,150,0.60546875,5896,Ġphysical
203,151,0.86328125,11904,Ġappearance
204,152,0.9296875,301,Ġand
205,153,0.69140625,18421,Ġabilities
206,154,0.5078125,11,","
208,155,0.78515625,1040,Ġthan
207,156,1.0,4571,Ġrather
209,157,0.419921875,391,Ġwith
210,158,0.294921875,268,Ġthe
211,159,0.0869140625,1367,Ġwell
212,160,1.0,23808,-being
213,161,0.953125,300,Ġof
214,162,0.80859375,3507,Ġothers
215,163,0.8671875,13,.
216,164,0.98046875,1077,ĠThis
217,165,0.9375,1402,Ġcould
220,166,0.828125,259,Ġa
219,167,0.90625,297,Ġto
218,168,0.9921875,2051,Ġlead
223,169,0.494140625,37887,Ġempathy
222,170,0.81640625,300,Ġof
224,171,0.8359375,301,Ġand
221,172,0.5625,6446,Ġlack
225,173,0.53515625,22558,Ġcompassion
226,174,0.97265625,11,","
227,175,0.65234375,409,Ġas
228,176,0.6796875,6083,Ġindividuals
230,177,0.4296875,778,Ġmore
229,178,0.875,3588,Ġbecome
234,179,0.734375,1645,Ġown
233,180,1.0,802,Ġtheir
231,181,0.9140625,9884,Ġfocused
232,182,1.0,366,Ġon
236,183,0.466796875,301,Ġand
235,184,0.357421875,26972,Ġdesires
238,185,0.365234375,13,.
240,186,0.9921875,198,Ċ
239,187,0.99609375,198,Ċ
242,188,0.384765625,11,","
241,189,0.6171875,29538,Overall
243,190,0.7421875,1816,Ġwhile
237,191,0.287109375,3393,Ġneeds
244,192,0.95703125,16210,Ġgenetic
245,193,1.0,18653,Ġediting
248,194,0.7890625,3880,Ġpotential
247,195,0.8125,268,Ġthe
249,196,0.96875,297,Ġto
246,197,0.91015625,723,Ġhas
251,198,0.451171875,922,ize
250,199,1.0,17864,Ġrevolution
253,200,0.71484375,301,Ġand
252,201,0.84375,13091,Ġmedicine
255,202,0.73046875,3738,Ġhuman
257,203,0.97265625,11,","
258,204,0.94921875,403,Ġit
256,205,0.80859375,15567,Ġcapabilities
254,206,0.7734375,10226,Ġenhance
259,207,0.58203125,341,Ġis
261,208,0.87890625,297,Ġto
260,209,0.81640625,2489,Ġimportant
262,210,0.5703125,13436,Ġcarefully
263,211,0.984375,3117,Ġconsider
264,212,0.94140625,268,Ġthe
265,213,0.81640625,22297,Ġethical
266,214,0.96484375,301,Ġand
267,215,0.9921875,41942,Ġsocietal
268,216,0.96484375,17074,Ġimplications
269,217,0.96875,300,Ġof
272,218,0.93359375,13,.
270,219,0.96875,501,Ġthis
271,220,0.99609375,4512,Ġtechnology
273,221,0.40234375,3893,ĠBy
274,222,0.251953125,3028,Ġworking
275,223,0.71875,3361,Ġtogether
276,224,0.66015625,297,Ġto
280,225,0.357421875,43242,Ġequitable
279,226,0.8359375,301,Ġand
278,227,0.8671875,7913,Ġresponsible
283,228,0.78125,16210,Ġgenetic
285,229,0.984375,11,","
287,230,0.984375,560,Ġcan
286,231,0.99609375,438,Ġwe
284,232,0.74609375,18653,Ġediting
281,233,0.62109375,1071,Ġuse
282,234,1.0,300,Ġof
277,235,0.48046875,5034,Ġensure
288,236,0.71484375,2818,Ġcreate
289,237,0.9921875,259,Ġa
291,238,0.46484375,1387,Ġwhere
290,239,0.59375,3770,Ġfuture
307,240,0.99609375,126081,<|endoftext|>
305,241,0.95703125,13,.
306,242,1.0,126348,<|eot_id|>
292,243,0.77734375,4919,Ġeveryone
293,244,0.953125,723,Ġhas
296,245,0.625,297,Ġto
294,246,0.98828125,268,Ġthe
295,247,0.97265625,5649,Ġopportunity
297,248,0.361328125,33118,Ġthrive
298,249,0.5078125,11,","
299,250,0.9140625,14645,Ġregardless
300,251,1.0,300,Ġof
301,252,0.8359375,802,Ġtheir
302,253,0.9453125,5200,Ġbackground
303,254,1.0,453,Ġor
304,255,0.8046875,10829,Ġcircumstances
