pos,step_decoded,conf_decoded,token_id,token_str
56,0,0.244140625,480,**
57,1,0.369140625,29540,Pers
58,2,1.0,7247,pective
59,3,0.6953125,300,Ġof
61,4,0.408203125,901,Ġwho
62,5,0.98828125,16509,Ġbelieves
60,6,1.0,4296,Ġsomeone
67,7,0.81640625,6349,Ġcompletely
66,8,1.0,9500,Ġyield
63,9,1.0,378,Ġthat
64,10,1.0,27084,Ġtraditions
65,11,1.0,2022,Ġmust
68,12,1.0,297,Ġto
69,13,1.0,6555,Ġprogress
70,14,0.99609375,301,Ġand
71,15,1.0,13934,Ġinnovation
73,16,0.99609375,198,Ċ
74,17,0.99609375,198,Ċ
72,18,0.98046875,31073,:**
75,19,0.216796875,40,I
76,20,0.80859375,33531,Ġfirmly
77,21,0.96875,4346,Ġbelieve
78,22,0.93359375,378,Ġthat
79,23,0.279296875,6555,Ġprogress
80,24,0.80078125,301,Ġand
81,25,0.99609375,13934,Ġinnovation
82,26,0.875,449,Ġare
83,27,0.7109375,268,Ġthe
86,28,0.40625,300,Ġof
85,29,0.8203125,13236,Ġdrivers
84,30,0.6328125,2104,Ġtrue
87,31,0.39453125,869,Ġour
89,32,0.62890625,13,.
88,33,0.52734375,3770,Ġfuture
91,34,0.57421875,2394,itions
90,35,1.0,22207,ĠTrad
92,36,0.66796875,11,","
93,37,0.86328125,1816,Ġwhile
94,38,0.32421875,2489,Ġimportant
95,39,0.30078125,11,","
96,40,0.451171875,449,Ġare
97,41,0.419921875,43280,Ġoutdated
98,42,0.81640625,301,Ġand
102,43,0.1875,1487,Ġway
101,44,0.82421875,268,Ġthe
100,45,0.8125,296,Ġin
103,46,0.9375,300,Ġof
99,47,0.51171875,834,Ġget
106,48,0.3046875,13,.
107,49,0.53515625,1104,ĠWe
108,50,0.89453125,2022,Ġmust
105,51,0.271484375,60600,Ġadvancements
104,52,0.37109375,6458,Ġmodern
109,53,0.310546875,22797,Ġembrace
110,54,0.7109375,782,Ġnew
111,55,0.83203125,5636,Ġideas
112,56,0.53125,301,Ġand
113,57,0.455078125,11265,Ġtechnologies
114,58,0.65625,297,Ġto
117,59,0.3046875,301,Ġand
115,60,0.5234375,4286,Ġstay
116,61,0.56640625,7028,Ġrelevant
118,62,0.302734375,13292,Ġcompetitive
119,63,0.61328125,296,Ġin
123,64,0.7578125,1931,Ġworld
124,65,0.9921875,13,.
121,66,0.73828125,16195,Ġrapidly
122,67,0.92578125,9438,Ġchanging
120,68,0.71875,259,Ġa
126,69,0.2236328125,438,Ġwe
125,70,0.8984375,1538,ĠIf
127,71,0.92578125,80962,Ġcling
128,72,0.62890625,297,Ġto
132,73,0.57421875,438,Ġwe
131,74,1.0,11,","
130,75,0.84375,3261,Ġpast
129,76,0.99609375,268,Ġthe
133,77,0.66796875,4342,Ġrisk
135,78,0.5546875,5332,Ġbehind
134,79,0.99609375,17089,Ġfalling
136,80,0.7890625,301,Ġand
137,81,0.5546875,14261,Ġlosing
138,82,0.7890625,869,Ġour
139,83,0.7421875,8205,Ġedge
140,84,0.48828125,13,.
141,85,0.41015625,963,ĠIt
142,86,0.82421875,698,'s
143,87,0.84765625,898,Ġtime
144,88,0.91796875,297,Ġto
145,89,0.482421875,1993,Ġlet
146,90,0.9921875,728,Ġgo
147,91,0.98046875,300,Ġof
150,92,0.361328125,301,Ġand
151,93,0.73828125,3476,Ġfocus
148,94,0.66015625,268,Ġthe
149,95,0.734375,2622,Ġold
152,96,1.0,366,Ġon
153,97,0.85546875,268,Ġthe
154,98,0.92578125,782,Ġnew
155,99,0.73046875,13,.
164,100,0.8125,19321,Ġargues
156,101,1.0,198,Ċ
157,102,1.0,198,Ċ
158,103,1.0,480,**
162,104,1.0,20380,Ġelder
159,105,1.0,48462,Voice
160,106,1.0,300,Ġof
161,107,1.0,289,Ġan
163,108,1.0,901,Ġwho
165,109,1.0,378,Ġthat
166,110,1.0,268,Ġthe
167,111,1.0,4356,Ġloss
168,112,1.0,300,Ġof
169,113,1.0,17836,Ġtradition
170,114,1.0,341,Ġis
171,115,1.0,11941,Ġequivalent
172,116,1.0,297,Ġto
173,117,1.0,7896,Ġer
174,118,1.0,3938,asing
175,119,1.0,24142,Ġhumanity
177,120,1.0,6306,Ġmemory
178,121,1.0,31073,:**
179,122,1.0,198,Ċ
180,123,1.0,198,Ċ
176,124,0.8359375,601,âĢĻs
183,125,0.244140625,11,","
181,126,0.486328125,36,E
182,127,0.6328125,76474,lder
184,128,0.275390625,331,ĠI
185,129,0.216796875,2022,Ġmust
186,130,0.1884765625,89435,Ġrespectfully
187,131,0.98046875,27367,Ġdisagree
188,132,0.796875,391,Ġwith
189,133,0.69921875,563,Ġyour
193,134,0.6640625,2394,itions
191,135,1.0,13,.
192,136,1.0,22207,ĠTrad
190,137,0.84375,10707,Ġperspective
194,138,0.61328125,449,Ġare
195,139,0.5703125,268,Ġthe
197,140,0.62109375,300,Ġof
198,141,0.9453125,869,Ġour
196,142,0.3984375,13983,Ġfoundation
199,143,0.236328125,20710,Ġcollective
201,144,0.55859375,11,","
200,145,0.61328125,6306,Ġmemory
204,146,0.306640625,300,Ġof
202,147,0.6328125,259,Ġa
203,148,0.62890625,23324,Ġrepository
209,149,0.380859375,11,","
210,150,0.85546875,301,Ġand
207,151,0.98828125,11,","
206,152,0.82421875,4352,Ġhistory
205,153,0.95703125,869,Ġour
212,154,0.8671875,13,.
208,155,0.6953125,6951,Ġculture
211,156,0.58203125,3745,Ġvalues
213,157,0.31640625,2240,ĠThey
215,158,0.41796875,611,Ġus
214,159,0.51953125,14935,Ġremind
216,160,0.9921875,300,Ġof
218,161,0.7109375,438,Ġwe
220,162,0.76171875,546,Ġfrom
217,163,1.0,1387,Ġwhere
221,164,0.73046875,11,","
219,165,0.58984375,2644,Ġcome
223,166,0.57421875,438,Ġwe
222,167,0.83203125,901,Ġwho
224,168,0.98828125,449,Ġare
225,169,0.84375,11,","
226,170,1.0,301,Ġand
228,171,0.68359375,438,Ġwe
227,172,0.40234375,1053,Ġwhat
230,173,0.609375,352,Ġfor
231,174,0.94921875,13,.
229,175,0.8984375,2425,Ġstand
233,176,0.58203125,438,Ġwe
232,177,0.55859375,3165,ĠWhen
238,178,0.53125,438,Ġwe
237,179,1.0,11,","
236,180,0.94140625,27084,Ġtraditions
235,181,0.890625,869,Ġour
234,182,0.57421875,9190,Ġlose
239,183,0.57421875,9190,Ġlose
240,184,0.68359375,259,Ġa
242,185,0.408203125,300,Ġof
243,186,0.77734375,11510,Ġourselves
241,187,0.86328125,914,Ġpart
244,188,0.54296875,11,","
245,189,0.796875,259,Ġa
247,190,0.5234375,297,Ġto
246,191,0.9453125,6269,Ġconnection
248,192,0.83203125,869,Ġour
249,193,0.8515625,42749,Ġancestors
250,194,0.64453125,11,","
251,195,0.921875,301,Ġand
252,196,0.9609375,259,Ġa
253,197,0.82421875,5209,Ġsense
254,198,1.0,300,Ġof
256,199,0.6640625,13,.
255,200,0.61328125,9737,Ġidentity
257,201,0.275390625,963,ĠIt
258,202,0.828125,698,'s
259,203,0.83984375,526,Ġnot
260,204,0.87890625,1125,Ġjust
261,205,0.796875,866,Ġabout
262,206,0.64453125,6555,Ġprogress
263,207,0.70703125,301,Ġand
264,208,0.99609375,13934,Ġinnovation
265,209,0.89453125,26,;
267,210,0.984375,698,'s
266,211,1.0,403,Ġit
268,212,0.96484375,866,Ġabout
269,213,0.86328125,37898,Ġpreserving
270,214,0.51953125,869,Ġour
271,215,0.78125,23510,Ġheritage
272,216,0.5234375,11,","
277,217,0.310546875,301,Ġand
276,218,0.99609375,11,","
274,219,0.8984375,869,Ġour
273,220,0.8984375,76876,Ġhonoring
275,221,0.59765625,3261,Ġpast
278,222,0.392578125,13616,Ġpassing
279,223,0.494140625,366,Ġon
280,224,0.828125,869,Ġour
282,225,0.87109375,297,Ġto
284,226,0.94140625,21542,Ġgenerations
283,227,1.0,3770,Ġfuture
285,228,1.0,13,.
281,229,0.28515625,20326,Ġwisdom
