pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.640625,25306,Ġreasoning
45,1,0.99609375,83021,Scientific
47,2,0.56640625,14212,Ġstands
48,3,0.86328125,409,Ġas
52,4,0.7421875,24142,Ġhumanity
51,5,0.7890625,300,Ġof
55,6,0.75,313,st
54,7,0.99609375,10866,Ġpure
59,8,0.87890625,108165,-seeking
57,9,1.0,300,Ġof
58,10,1.0,7806,Ġtruth
56,11,0.9921875,1627,Ġform
53,12,0.73046875,698,'s
49,13,0.5859375,268,Ġthe
60,14,0.5546875,13,.
50,15,0.41015625,87349,Ġcornerstone
61,16,0.56640625,963,ĠIt
62,17,0.5,341,Ġis
63,18,0.3515625,268,Ġthe
66,19,0.2373046875,818,Ġwhich
67,20,0.9140625,438,Ġwe
65,21,0.46875,1352,Ġthrough
64,22,0.5703125,17640,Ġlens
69,23,0.6015625,268,Ġthe
70,24,0.515625,1931,Ġworld
71,25,0.66796875,11,","
68,26,0.388671875,15757,Ġexamine
75,27,0.2353515625,11,","
76,28,0.8046875,301,Ġand
73,29,0.41015625,1097,Ġits
74,30,0.40234375,55307,Ġmysteries
72,31,0.87109375,71864,Ġunravel
78,32,0.306640625,268,Ġthe
80,33,0.39453125,300,Ġof
82,34,0.3984375,13,.
83,35,0.39453125,3893,ĠBy
81,36,0.306640625,9117,Ġreality
79,37,0.328125,12425,Ġfabric
84,38,0.296875,35372,Ġrelying
85,39,0.9921875,366,Ġon
86,40,0.578125,33957,Ġempirical
88,41,0.9296875,11,","
87,42,0.90234375,4928,Ġevidence
91,43,0.73828125,11,","
92,44,0.9921875,301,Ġand
89,45,0.392578125,37477,Ġrigorous
90,46,0.4765625,7750,Ġtesting
77,47,0.1435546875,2725,Ġunderstand
95,48,0.69921875,11,","
96,49,0.5546875,16816,Ġscientists
97,50,0.7265625,27101,Ġstrive
98,51,0.890625,297,Ġto
99,52,0.67578125,34707,Ġuncover
100,53,0.51953125,268,Ġthe
93,54,0.283203125,26481,Ġsystematic
94,55,0.5625,18185,Ġobservation
102,56,0.2333984375,54008,Ġtruths
103,57,0.62890625,378,Ġthat
104,58,0.859375,9063,Ġgovern
106,59,0.91015625,16928,Ġuniverse
105,60,0.90625,869,Ġour
107,61,0.9296875,13,.
108,62,0.51953125,1077,ĠThis
101,63,0.462890625,13655,Ġfundamental
110,64,0.494140625,32803,Ġpursuit
111,65,0.859375,300,Ġof
112,66,0.84765625,4848,Ġknowledge
113,67,0.58203125,341,Ġis
109,68,0.400390625,72154,Ġrelentless
115,69,0.373046875,51383,Ġtestament
114,70,1.0,259,Ġa
116,71,1.0,297,Ġto
117,72,0.486328125,869,Ġour
120,73,0.31640625,301,Ġand
119,74,0.859375,35038,Ġcuriosity
118,75,0.80859375,57162,Ġinnate
121,76,0.2001953125,268,Ġthe
122,77,0.2275390625,3738,Ġhuman
123,78,0.71484375,7766,Ġspirit
124,79,0.486328125,698,'s
131,80,0.4140625,198,Ċ
132,81,0.6640625,198,Ċ
130,82,0.99609375,13,.
134,83,0.8828125,11,","
133,84,0.7265625,10248,However
129,85,0.68359375,12398,Ġunknown
128,86,1.0,268,Ġthe
126,87,0.921875,297,Ġto
127,88,0.8515625,9070,Ġexplore
125,89,0.59765625,5980,Ġdrive
135,90,0.43359375,268,Ġthe
136,91,0.84375,69602,Ġpoetic
138,92,0.8125,378,Ġthat
139,93,0.71875,7806,Ġtruth
140,94,1.0,2094,Ġwithout
137,95,0.71484375,3645,Ġclaim
141,96,1.0,5622,Ġwonder
143,97,1.0,65367,Ġsterile
142,98,1.0,341,Ġis
144,99,1.0,301,Ġand
145,100,1.0,4555,Ġhalf
146,101,1.0,9864,-se
147,102,1.0,271,en
149,103,0.55078125,259,Ġa
148,104,0.8046875,4788,Ġoffers
152,105,0.51171875,13,.
151,106,0.87890625,10707,Ġperspective
150,107,0.46484375,68960,Ġcontrasting
153,108,0.40625,5781,ĠWhile
154,109,0.625,11699,Ġscientific
155,110,0.447265625,25306,Ġreasoning
156,111,0.515625,4360,Ġprovides
157,112,0.60546875,259,Ġa
160,113,0.33984375,352,Ġfor
161,114,0.84375,5942,Ġunderstanding
162,115,0.91796875,268,Ġthe
164,116,0.91015625,11,","
165,117,0.9609375,403,Ġit
163,118,0.94140625,1931,Ġworld
159,119,0.87890625,11733,Ġframework
158,120,0.73828125,16950,Ġrobust
166,121,0.33984375,3327,Ġoften
168,122,0.609375,268,Ġthe
167,123,0.7578125,37289,Ġlacks
170,124,0.6015625,301,Ġand
172,125,0.47265625,378,Ġthat
169,126,0.330078125,11055,Ġbeauty
171,127,0.734375,49242,Ġawe
174,128,0.220703125,301,Ġand
173,129,0.5703125,1928,Ġart
175,130,0.515625,26201,Ġimagination
176,131,0.55078125,560,Ġcan
178,132,0.91015625,13,.
177,133,0.55078125,84971,Ġevoke
180,134,0.224609375,11,","
181,135,0.470703125,296,Ġin
179,136,0.63671875,30009,ĠWonder
182,137,0.55859375,1097,Ġits
183,138,0.40234375,27472,Ġessence
184,139,1.0,11,","
185,140,0.796875,341,Ġis
186,141,0.359375,268,Ġthe
