pos,step_decoded,conf_decoded,token_id,token_str
50,0,0.41796875,60016,Animal
51,1,1.0,7750,Ġtesting
52,2,0.72265625,341,Ġis
53,3,0.57421875,3327,Ġoften
55,4,0.87890625,409,Ġas
57,5,0.9296875,87866,Ġregrett
56,6,1.0,259,Ġa
58,7,1.0,600,able
60,8,0.88671875,352,Ġfor
59,9,0.99609375,29299,Ġnecessity
61,10,0.94921875,5361,Ġmedical
62,11,0.98046875,6555,Ġprogress
63,12,0.546875,13,.
64,13,0.353515625,1392,ĠPro
65,14,1.0,13521,ponents
54,15,0.2255859375,7379,Ġpresented
66,16,0.85546875,17906,Ġargue
67,17,0.99609375,378,Ġthat
68,18,0.24609375,403,Ġit
69,19,0.5703125,341,Ġis
71,20,0.46875,297,Ġto
70,21,0.490234375,5143,Ġessential
74,22,0.376953125,6375,Ġsafety
73,23,0.9921875,268,Ġthe
72,24,0.8828125,5034,Ġensure
75,25,0.84375,301,Ġand
77,26,0.99609375,300,Ġof
76,27,0.95703125,27749,Ġefficacy
78,28,0.6953125,782,Ġnew
80,29,0.578125,301,Ġand
79,30,0.64453125,11264,Ġdrugs
81,31,0.83203125,15323,Ġtreatments
82,32,0.3984375,13,.
83,33,0.2197265625,2240,ĠThey
85,34,0.72265625,378,Ġthat
84,35,0.427734375,3645,Ġclaim
89,36,0.365234375,11,","
86,37,0.96875,2094,Ġwithout
87,38,0.89453125,10828,Ġanimal
88,39,0.9453125,7750,Ġtesting
92,40,0.1943359375,1402,Ġcould
93,41,0.5546875,367,Ġbe
90,42,0.384765625,3738,Ġhuman
94,43,0.76171875,482,Ġat
91,44,0.921875,5809,Ġlives
95,45,0.828125,4342,Ġrisk
96,46,0.314453125,13,.
97,47,0.25,1077,ĠThis
99,48,0.498046875,341,Ġis
98,49,0.43359375,7103,Ġargument
102,50,0.357421875,268,Ġthe
104,51,0.7421875,378,Ġthat
101,52,0.49609375,366,Ġon
100,53,0.85546875,2901,Ġbased
105,54,0.337890625,268,Ġthe
109,55,0.326171875,9452,Ġanimals
110,56,0.59375,341,Ġis
107,57,0.61328125,8422,Ġcaused
108,58,0.9921875,297,Ġto
106,59,0.57421875,15465,Ġsuffering
111,60,0.5,259,Ġa
103,61,0.38671875,4336,Ġidea
112,62,0.369140625,4880,Ġnecessary
113,63,0.2255859375,16436,Ġevil
116,64,0.546875,6499,Ġgreater
114,65,0.99609375,352,Ġfor
117,66,0.9765625,1505,Ġgood
115,67,0.77734375,268,Ġthe
118,68,0.431640625,300,Ġof
122,69,0.81640625,198,Ċ
124,70,0.703125,11,","
123,71,0.99609375,10248,However
120,72,0.9765625,13,.
121,73,0.984375,198,Ċ
119,74,0.73828125,24142,Ġhumanity
125,75,0.640625,501,Ġthis
126,76,0.57421875,15712,Ġlogic
127,77,0.54296875,560,Ġcan
128,78,0.9921875,367,Ġbe
129,79,0.98828125,65293,Ġdismant
130,80,1.0,1586,led
131,81,0.9765625,527,Ġby
134,82,0.9140625,17721,Ġmoral
135,83,0.91015625,20209,Ġboundaries
140,84,0.8125,8372,Ġbecomes
139,85,1.0,15465,Ġsuffering
141,86,0.9921875,259,Ġa
143,87,0.99609375,297,Ġto
144,88,1.0,289,Ġan
145,89,1.0,1389,Ġend
142,90,0.99609375,3209,Ġmeans
137,91,0.97265625,848,ode
136,92,1.0,7896,Ġer
138,93,0.890625,3779,Ġonce
133,94,0.89453125,1099,Ġhow
132,95,0.494140625,32738,Ġexamining
146,96,0.99609375,13,.
147,97,0.3828125,3165,ĠWhen
148,98,0.302734375,438,Ġwe
149,99,0.248046875,2653,Ġview
152,100,0.421875,409,Ġas
150,101,0.82421875,10828,Ġanimal
153,102,0.8984375,259,Ġa
151,103,0.6640625,7750,Ġtesting
154,104,0.671875,3209,Ġmeans
155,105,0.92578125,297,Ġto
157,106,0.78125,1389,Ġend
156,107,1.0,289,Ġan
158,108,0.91015625,11,","
159,109,0.828125,438,Ġwe
160,110,0.314453125,449,Ġare
161,111,0.296875,16343,Ġessentially
163,112,0.373046875,378,Ġthat
164,113,0.703125,268,Ġthe
165,114,0.59375,15465,Ġsuffering
168,115,0.5546875,9452,Ġanimals
169,116,0.81640625,341,Ġis
166,117,0.81640625,8422,Ġcaused
167,118,0.99609375,297,Ġto
162,119,0.59765625,6804,Ġsaying
170,120,0.4296875,36429,Ġjustified
