pos,step_decoded,conf_decoded,token_id,token_str
48,0,0.404296875,4944,Ġimm
49,1,1.0,99164,ortality
47,2,0.99609375,25837,Digital
52,3,0.400390625,37827,Ġnoble
51,4,0.96875,259,Ġa
56,5,0.88671875,25530,Ġconsciousness
54,6,0.93359375,297,Ġto
55,7,0.98828125,20887,Ġpreserve
53,8,0.80859375,1487,Ġway
57,9,0.474609375,11,","
50,10,0.515625,10904,Ġrepresents
58,11,0.341796875,10545,Ġallowing
59,12,0.59375,6083,Ġindividuals
60,13,0.98046875,297,Ġto
62,14,0.431640625,802,Ġtheir
61,15,0.271484375,5351,Ġmaintain
64,16,0.48828125,301,Ġand
65,17,0.390625,8400,Ġexperiences
63,18,0.5546875,16919,Ġmemories
67,19,0.40625,1459,Ġafter
69,20,0.74609375,5896,Ġphysical
68,21,0.84375,802,Ġtheir
70,22,0.73828125,14208,Ġbodies
71,23,0.78125,40174,Ġcease
72,24,0.98046875,297,Ġto
74,25,0.99609375,13,.
73,26,0.90234375,3804,Ġexist
66,27,0.5625,1524,Ġlong
75,28,0.412109375,1077,ĠThis
76,29,0.23828125,5997,Ġconcept
78,30,0.2197265625,268,Ġthe
77,31,0.1328125,4788,Ġoffers
80,32,0.46484375,300,Ġof
79,33,0.703125,13988,Ġpromise
81,34,0.431640625,259,Ġa
82,35,0.2578125,1968,Ġlife
85,36,0.275390625,11,","
86,37,0.56640625,1387,Ġwhere
84,38,0.7109375,5179,Ġdeath
83,39,0.796875,7267,Ġbeyond
87,40,0.4296875,810,Ġone
88,41,0.953125,698,'s
89,42,0.328125,27472,Ġessence
90,43,0.326171875,560,Ġcan
91,44,0.474609375,4458,Ġcontinue
92,45,0.8671875,297,Ġto
93,46,0.48046875,3804,Ġexist
94,47,0.51171875,296,Ġin
95,48,0.8125,259,Ġa
96,49,0.76171875,5910,Ġdigital
97,50,0.609375,30510,Ġrealm
98,51,0.53515625,11,","
100,52,0.490234375,546,Ġfrom
99,53,0.98046875,2169,Ġfree
101,54,0.94921875,268,Ġthe
103,55,0.796875,300,Ġof
102,56,0.82421875,18675,Ġconstraints
104,57,0.490234375,5896,Ġphysical
106,58,0.7890625,13,.
105,59,0.54296875,11738,Ġlimitations
107,60,0.330078125,3260,ĠHowever
108,61,1.0,11,","
109,62,0.3984375,268,Ġthe
110,63,0.169921875,3880,Ġpotential
112,64,0.51953125,300,Ġof
115,65,0.416015625,99164,ortality
114,66,1.0,4944,Ġimm
113,67,0.98046875,5910,Ġdigital
111,68,0.6796875,5883,Ġbenefits
