pos,step_decoded,conf_decoded,token_id,token_str
48,0,0.8125,65758,Ġeconomist
46,1,0.99609375,2441,As
47,2,1.0,289,Ġan
49,3,0.97265625,11,","
50,4,0.8203125,331,ĠI
58,5,0.5,67319,blood
57,6,1.0,1968,Ġlife
60,7,0.8671875,43099,Ġcivilization
59,8,0.99609375,300,Ġof
56,9,0.95703125,268,Ġthe
54,10,0.93359375,5003,Ġgrowth
53,11,0.86328125,25612,Ġendless
61,12,0.8203125,13,.
52,13,0.765625,378,Ġthat
55,14,0.9921875,341,Ġis
51,15,0.8515625,4346,Ġbelieve
62,16,0.259765625,25946,ĠGrowth
63,17,0.390625,20603,Ġdrives
65,18,0.72265625,11,","
64,19,0.69921875,13934,Ġinnovation
69,20,0.515625,301,Ġand
68,21,0.9921875,11,","
66,22,0.361328125,12884,Ġcreates
67,23,0.546875,8342,Ġjobs
72,24,0.4765625,9616,Ġstandards
71,25,0.98828125,4976,Ġliving
73,26,0.87890625,13,.
74,27,0.50390625,963,ĠIt
76,28,0.51171875,268,Ġthe
75,29,0.62890625,341,Ġis
77,30,0.578125,4954,Ġengine
70,31,0.47265625,26636,Ġimproves
78,32,0.76171875,378,Ġthat
79,33,0.41015625,8103,Ġprop
80,34,1.0,1631,els
81,35,0.298828125,869,Ġour
83,36,0.5078125,4953,Ġforward
85,37,0.53515625,16325,ĠWithout
84,38,1.0,13,.
87,39,0.83984375,11,","
86,40,0.92578125,5003,Ġgrowth
82,41,0.52734375,8448,Ġsociety
88,42,0.482421875,438,Ġwe
89,43,0.734375,1017,Ġwould
90,44,0.5390625,526,Ġnot
91,45,0.43359375,367,Ġbe
92,46,0.88671875,2766,Ġable
93,47,0.98046875,297,Ġto
95,48,0.58984375,268,Ġthe
97,49,0.36328125,300,Ġof
96,50,0.50390625,7649,Ġchallenges
98,51,0.50390625,268,Ġthe
99,52,0.7578125,6458,Ġmodern
100,53,0.98046875,1931,Ġworld
101,54,0.6796875,13,.
103,55,0.67578125,198,Ċ
102,56,0.93359375,198,Ċ
105,57,0.8359375,11,","
104,58,0.9765625,10248,However
94,59,0.380859375,3279,Ġmeet
106,60,0.37890625,268,Ġthe
108,61,0.8359375,300,Ġof
107,62,0.859375,4336,Ġidea
109,63,0.498046875,71887,Ġperpetual
119,64,0.88671875,116103,Ġunsustainable
117,65,0.99609375,301,Ġand
118,66,1.0,76066,Ġmorally
120,67,1.0,13,.
113,68,0.99609375,15269,Ġfinite
111,69,1.0,366,Ġon
114,70,1.0,13330,Ġplanet
115,71,1.0,341,Ġis
116,72,0.99609375,96059,Ġmathematically
112,73,0.99609375,259,Ġa
110,74,0.73046875,13620,Ġexpansion
121,75,0.310546875,5504,ĠFrom
122,76,0.9609375,259,Ġa
125,77,0.953125,11,","
123,78,0.96484375,22687,Ġmathematical
124,79,0.81640625,10707,Ġperspective
126,80,0.466796875,268,Ġthe
127,81,0.51953125,10700,ĠEarth
130,82,0.51171875,15269,Ġfinite
129,83,0.98828125,259,Ġa
128,84,0.6484375,341,Ġis
132,85,0.6640625,391,Ġwith
133,86,0.84765625,6324,Ġlimited
134,87,0.96484375,5677,Ġresources
135,88,0.890625,13,.
131,89,0.7109375,13330,Ġplanet
137,90,0.53515625,438,Ġwe
138,91,0.92578125,4458,Ġcontinue
139,92,0.984375,297,Ġto
136,93,0.796875,1538,ĠIf
140,94,0.45703125,25805,Ġconsume
141,95,0.333984375,482,Ġat
144,96,0.796875,4105,Ġrate
145,97,0.83203125,11,","
146,98,0.91015625,438,Ġwe
147,99,0.96484375,627,Ġwill
148,100,0.83984375,10803,Ġeventually
143,101,0.5625,2251,Ġcurrent
142,102,0.6796875,869,Ġour
149,103,0.55078125,2001,Ġrun
150,104,0.99609375,733,Ġout
151,105,0.98046875,300,Ġof
152,106,0.81640625,5677,Ġresources
153,107,0.41796875,13,.
154,108,0.50390625,1077,ĠThis
155,109,0.56640625,341,Ġis
156,110,0.32421875,259,Ġa
157,111,0.31640625,22687,Ġmathematical
159,112,0.404296875,378,Ġthat
160,113,0.52734375,4331,Ġcannot
161,114,0.9921875,367,Ġbe
163,115,0.859375,13,.
162,116,0.69140625,19665,Ġignored
165,117,0.640625,198,Ċ
164,118,0.94140625,198,Ċ
158,119,0.55859375,9117,Ġreality
167,120,0.5546875,259,Ġa
166,121,0.99609375,4647,From
170,122,0.99609375,11,","
168,123,0.98828125,17721,Ġmoral
169,124,0.96484375,10707,Ġperspective
171,125,0.357421875,438,Ġwe
172,126,0.78515625,561,Ġhave
173,127,0.97265625,259,Ġa
174,128,0.7421875,10867,Ġresponsibility
175,129,0.99609375,297,Ġto
177,130,0.435546875,21542,Ġgenerations
176,131,1.0,3770,Ġfuture
178,132,0.5078125,297,Ġto
179,133,0.5234375,5034,Ġensure
180,134,0.91796875,378,Ġthat
181,135,0.3125,438,Ġwe
183,136,0.78125,526,Ġnot
184,137,0.89453125,2036,Ġdep
186,138,0.79296875,268,Ġthe
185,139,0.75390625,2388,lete
182,140,0.9921875,640,Ġdo
188,141,0.50390625,698,'s
189,142,0.94921875,5677,Ġresources
187,143,0.55859375,10700,ĠEarth
190,144,0.51171875,13,.
192,145,0.294921875,438,Ġwe
191,146,0.98828125,1538,ĠIf
193,147,0.890625,4458,Ġcontinue
194,148,0.96875,297,Ġto
199,149,0.46484375,4105,Ġrate
196,150,0.99609375,482,Ġat
197,151,0.98046875,869,Ġour
198,152,1.0,2251,Ġcurrent
201,153,0.9453125,438,Ġwe
200,154,1.0,11,","
195,155,0.70703125,25805,Ġconsume
202,156,0.5234375,449,Ġare
204,157,0.27734375,17365,riving
203,158,1.0,2036,Ġdep
205,159,0.8984375,3770,Ġfuture
206,160,1.0,21542,Ġgenerations
207,161,1.0,300,Ġof
208,162,0.84765625,268,Ġthe
209,163,0.62109375,5677,Ġresources
210,164,0.87109375,792,Ġthey
211,165,0.91015625,1050,Ġneed
212,166,0.96484375,297,Ġto
213,167,0.62109375,3845,Ġlive
214,168,0.73046875,259,Ġa
217,169,0.76953125,13,.
216,170,0.9921875,1968,Ġlife
219,171,0.73828125,341,Ġis
221,172,0.9453125,17721,Ġmoral
220,173,0.98828125,259,Ġa
218,174,0.98828125,1077,ĠThis
215,175,0.2265625,38344,Ġfulfilling
223,176,0.6953125,378,Ġthat
229,177,0.76171875,198,Ċ
227,178,0.85546875,13,.
228,179,0.9921875,198,Ċ
224,180,0.609375,4331,Ġcannot
225,181,1.0,367,Ġbe
226,182,0.87109375,19665,Ġignored
230,183,0.5,846,In
232,184,0.98828125,11,","
231,185,0.94140625,13445,Ġconclusion
233,186,0.91796875,1816,Ġwhile
234,187,0.5703125,25612,Ġendless
235,188,1.0,5003,Ġgrowth
236,189,0.80859375,341,Ġis
222,190,0.349609375,42270,Ġimperative
237,191,0.310546875,2489,Ġimportant
238,192,0.671875,352,Ġfor
242,193,0.50390625,43099,Ġcivilization
241,194,0.97265625,300,Ġof
239,195,1.0,268,Ġthe
243,196,0.99609375,11,","
244,197,0.53125,403,Ġit
245,198,0.625,341,Ġis
247,199,0.36328125,297,Ġto
246,200,0.859375,2489,Ġimportant
248,201,0.734375,13567,Ġrecognize
249,202,0.67578125,378,Ġthat
251,203,0.59375,13620,Ġexpansion
250,204,0.9921875,71887,Ġperpetual
253,205,0.96875,259,Ġa
252,206,1.0,366,Ġon
240,207,0.296875,6555,Ġprogress
254,208,1.0,15269,Ġfinite
255,209,1.0,13330,Ġplanet
256,210,0.96875,341,Ġis
259,211,0.52734375,76066,Ġmorally
257,212,1.0,96059,Ġmathematically
258,213,1.0,301,Ġand
260,214,1.0,116103,Ġunsustainable
261,215,1.0,13,.
262,216,0.94140625,1104,ĠWe
263,217,0.83984375,2022,Ġmust
264,218,0.494140625,1491,Ġfind
265,219,0.6796875,259,Ġa
267,220,0.7109375,1745,Ġbetween
266,221,1.0,8652,Ġbalance
269,222,0.71484375,301,Ġand
268,223,0.98828125,5003,Ġgrowth
270,224,0.9453125,23038,Ġsustainability
