pos,step_decoded,conf_decoded,token_id,token_str
46,0,0.8671875,75726,Justice
51,1,0.55078125,69117,Ġimpartial
49,2,0.9921875,18010,Ġblind
50,3,0.99609375,301,Ġand
48,4,0.98046875,367,Ġbe
47,5,0.99609375,2022,Ġmust
52,6,0.98046875,297,Ġto
53,7,0.9921875,18863,Ġemotion
54,8,0.337890625,1521,Ġbecause
55,9,0.578125,403,Ġit
56,10,0.4296875,341,Ġis
57,11,0.275390625,259,Ġa
59,12,0.2431640625,300,Ġof
58,13,0.48828125,1652,Ġsystem
60,14,0.58203125,6809,Ġrules
61,15,0.9453125,301,Ġand
63,16,0.734375,5469,Ġdesigned
64,17,1.0,297,Ġto
65,18,0.71484375,5034,Ġensure
62,19,0.6953125,12631,Ġprinciples
66,20,0.45703125,378,Ġthat
69,21,0.5625,10161,Ġtreated
67,22,0.90234375,4919,Ġeveryone
68,23,1.0,341,Ġis
70,24,0.73828125,17038,Ġequally
71,25,0.4921875,301,Ġand
72,26,0.388671875,2094,Ġwithout
73,27,0.80859375,17222,Ġbias
74,28,0.921875,13,.
75,29,0.28125,7851,ĠEm
76,30,1.0,40231,otions
77,31,0.53515625,11,","
82,32,0.365234375,11,","
78,33,0.478515625,3425,Ġwhether
79,34,0.69140625,4961,Ġpositive
81,35,1.0,7395,Ġnegative
80,36,1.0,453,Ġor
83,37,0.703125,560,Ġcan
84,38,0.353515625,2051,Ġlead
85,39,0.9609375,297,Ġto
87,40,0.25,301,Ġand
89,41,0.322265625,378,Ġthat
92,42,0.427734375,268,Ġthe
90,43,0.66796875,560,Ġcan
86,44,0.470703125,55953,Ġbiases
88,45,0.78125,105386,Ġprejudices
93,46,0.38671875,46973,Ġfairness
91,47,0.458984375,30060,Ġcompromise
94,48,0.6484375,301,Ġand
95,49,0.6796875,69117,Ġimpartial
96,50,1.0,481,ity
97,51,0.96484375,300,Ġof
98,52,0.67578125,12709,Ġjustice
99,53,0.9609375,13,.
100,54,0.3515625,3893,ĠBy
104,55,0.5234375,12709,Ġjustice
103,56,0.96875,11,","
105,57,0.74609375,17617,Ġaims
106,58,1.0,297,Ġto
102,59,0.470703125,69117,Ġimpartial
101,60,0.67578125,1775,Ġbeing
108,61,0.2255859375,259,Ġa
109,62,0.74609375,2234,Ġlevel
107,63,0.6796875,2598,Ġprovide
110,64,0.99609375,6124,Ġplaying
111,65,1.0,2571,Ġfield
113,66,0.66796875,654,Ġall
112,67,0.796875,352,Ġfor
115,68,0.77734375,11,","
114,69,0.890625,6083,Ġindividuals
117,70,0.546875,300,Ġof
116,71,0.984375,14645,Ġregardless
118,72,0.94140625,802,Ġtheir
119,73,0.400390625,3379,Ġpersonal
121,74,0.73828125,453,Ġor
123,75,0.8359375,13,.
125,76,0.796875,198,Ċ
124,77,0.9921875,198,Ċ
120,78,0.546875,13975,Ġfeelings
122,79,0.40625,10829,Ġcircumstances
127,80,0.82421875,11,","
126,81,0.94140625,10248,However
128,82,0.5,403,Ġit
129,83,0.953125,341,Ġis
131,84,0.55078125,297,Ġto
130,85,0.87109375,2489,Ġimportant
133,86,0.8828125,378,Ġthat
132,87,0.7421875,23349,Ġacknowledge
134,88,0.5390625,12709,Ġjustice
135,89,0.390625,11,","
138,90,0.5078125,18010,Ġblind
140,91,0.72265625,69117,Ġimpartial
139,92,0.94140625,301,Ġand
137,93,0.609375,1097,Ġits
141,94,0.75,6132,Ġnature
136,95,0.51953125,10032,Ġdespite
142,96,1.0,11,","
143,97,0.80078125,560,Ġcan
144,98,0.90234375,6736,Ġsometimes
145,99,0.400390625,1490,Ġresult
146,100,1.0,296,Ġin
147,101,0.62109375,27906,Ġharsh
149,102,0.404296875,378,Ġthat
150,103,0.55859375,1115,Ġmay
148,104,0.490234375,12334,Ġoutcomes
151,105,0.443359375,526,Ġnot
152,106,0.76953125,367,Ġbe
154,107,0.28125,453,Ġor
156,108,0.6328125,13,.
153,109,0.62890625,1125,Ġjust
155,110,0.50390625,99596,Ġhumane
157,111,0.349609375,718,ĠIn
160,112,0.953125,11,","
159,113,0.859375,4501,Ġcases
158,114,0.84375,1435,Ġsuch
161,115,0.6953125,37574,Ġmercy
162,116,0.287109375,560,Ġcan
165,117,0.50390625,12356,Ġcrucial
164,118,1.0,259,Ġa
163,119,0.97265625,1569,Ġplay
166,120,1.0,4307,Ġrole
168,121,0.8203125,16579,Ġresc
169,122,1.0,12316,uing
170,123,0.99609375,12709,Ġjustice
167,124,0.98828125,296,Ġin
171,125,0.96875,546,Ġfrom
172,126,0.337890625,268,Ġthe
173,127,0.30859375,3880,Ġpotential
174,128,0.416015625,352,Ġfor
175,129,0.95703125,66424,Ġcruelty
177,130,0.396484375,409,Ġas
176,131,1.0,105725,Ġdisguised
178,132,1.0,46973,Ġfairness
179,133,1.0,13,.
180,134,0.9140625,64321,ĠMercy
181,135,0.416015625,11,","
182,136,0.5078125,19911,Ġprecisely
183,137,1.0,1521,Ġbecause
184,138,1.0,403,Ġit
185,139,0.9609375,17703,Ġsees
186,140,0.6484375,301,Ġand
187,141,0.6328125,30881,Ġunderstands
188,142,0.92578125,268,Ġthe
189,143,0.2265625,12282,Ġemotional
190,144,0.7421875,301,Ġand
193,145,0.87890625,300,Ġof
195,146,0.60546875,11,","
194,147,0.875,6083,Ġindividuals
196,148,0.6640625,560,Ġcan
191,149,0.419921875,21082,Ġpsychological
192,150,0.349609375,5502,Ġstates
197,151,0.2421875,2598,Ġprovide
198,152,0.69921875,259,Ġa
199,153,0.31640625,778,Ġmore
200,154,0.921875,47348,Ġcompassionate
201,155,0.83984375,301,Ġand
205,156,0.5078125,12709,Ġjustice
204,157,0.9140625,297,Ġto
203,158,0.96484375,4909,Ġapproach
202,159,0.201171875,119648,Ġempathetic
206,160,0.98046875,13,.
207,161,0.423828125,198,Ċ
208,162,1.0,198,Ċ
209,163,0.35546875,2856,By
210,164,0.6796875,37638,Ġrecognizing
211,165,0.76953125,268,Ġthe
212,166,0.4296875,12282,Ġemotional
213,167,0.52734375,4402,Ġimpact
214,168,0.89453125,300,Ġof
215,169,0.357421875,259,Ġa
216,170,0.69140625,6214,Ġsituation
218,171,0.8515625,37574,Ġmercy
217,172,1.0,11,","
219,173,0.66015625,560,Ġcan
220,174,0.8203125,1376,Ġhelp
221,175,0.59375,297,Ġto
223,176,0.380859375,268,Ġthe
222,177,0.443359375,40341,Ġmitigate
224,178,0.48828125,27906,Ġharsh
225,179,0.83203125,1866,ness
226,180,0.65234375,300,Ġof
227,181,0.65234375,12709,Ġjustice
228,182,0.56640625,301,Ġand
230,183,0.369140625,259,Ġa
229,184,0.56640625,2598,Ġprovide
231,185,0.484375,778,Ġmore
233,186,0.6640625,301,Ġand
236,187,0.80859375,13,.
237,188,0.69140625,1077,ĠThis
232,189,0.404296875,21205,Ġbalanced
234,190,0.64453125,99596,Ġhumane
235,191,0.3828125,4031,Ġresponse
238,192,0.248046875,560,Ġcan
239,193,0.37109375,3124,Ġinclude
240,194,0.4140625,8961,Ġoffering
241,195,0.5,9101,Ġalternative
243,196,0.5546875,11,","
244,197,0.66796875,1435,Ġsuch
245,198,1.0,409,Ġas
242,199,0.79296875,6202,Ġsolutions
249,200,0.5859375,11,","
247,201,0.68359375,11,","
250,202,0.984375,453,Ġor
246,203,0.326171875,34282,Ġrehabilitation
251,204,0.498046875,95627,Ġrestorative
252,205,0.9453125,12709,Ġjustice
248,206,0.7109375,31629,Ġcounseling
253,207,0.38671875,6010,Ġprograms
254,208,0.9609375,11,","
255,209,0.49609375,378,Ġthat
256,210,0.65234375,3265,Ġaddress
257,211,0.96875,268,Ġthe
259,212,0.69921875,10280,Ġcauses
260,213,0.984375,300,Ġof
258,214,0.75390625,6745,Ġroot
262,215,0.56640625,7050,Ġbehavior
263,216,0.796875,4571,Ġrather
264,217,1.0,1040,Ġthan
261,218,0.75390625,268,Ġthe
266,219,0.443359375,112760,Ġpunishing
269,220,0.8203125,13,.
267,221,0.984375,268,Ġthe
268,222,0.703125,3182,Ġindividual
265,223,0.59765625,4720,Ġsimply
271,224,0.5625,11,","
270,225,0.419921875,8846,ĠThus
272,226,0.46875,1816,Ġwhile
273,227,0.9765625,12709,Ġjustice
274,228,0.6328125,2022,Ġmust
278,229,0.76171875,69117,Ġimpartial
276,230,0.984375,18010,Ġblind
277,231,0.99609375,301,Ġand
279,232,0.84765625,11,","
280,233,0.7109375,37574,Ġmercy
275,234,0.59375,4206,Ġremain
281,235,0.40234375,560,Ġcan
283,236,0.2080078125,409,Ġas
284,237,0.9609375,259,Ġa
282,238,0.75390625,7987,Ġserve
285,239,0.244140625,41196,Ġguiding
300,240,1.0,126348,<|eot_id|>
299,241,1.0,13,.
301,242,1.0,126081,<|endoftext|>
289,243,0.75,378,Ġthat
288,244,0.8671875,5034,Ġensure
287,245,1.0,297,Ġto
286,246,0.66796875,15517,Ġprinciple
290,247,0.546875,12709,Ġjustice
291,248,0.91796875,341,Ġis
294,249,0.66015625,259,Ġa
296,250,0.98828125,301,Ġand
293,251,0.9765625,296,Ġin
298,252,0.9765625,9921,Ġmanner
295,253,0.67578125,47348,Ġcompassionate
297,254,0.71484375,1125,Ġjust
292,255,0.431640625,29234,Ġadministered
