pos,step_decoded,conf_decoded,token_id,token_str
44,0,0.8046875,33201,War
45,1,0.671875,11,","
47,2,0.296875,1097,Ġits
46,3,0.671875,10032,Ġdespite
50,4,0.51171875,11,","
57,5,0.478515625,35599,Ġcatalyst
58,6,0.98828125,352,Ġfor
59,7,0.94921875,24722,Ġtechnological
54,8,0.8515625,409,Ġas
55,9,0.89453125,289,Ġan
56,10,0.6328125,33486,Ġinevitable
51,11,0.6015625,560,Ġcan
52,12,0.92578125,367,Ġbe
53,13,0.85546875,4089,Ġseen
48,14,0.443359375,38286,Ġdevastating
49,15,0.765625,13549,Ġconsequences
61,16,0.99609375,301,Ġand
60,17,0.92578125,6555,Ġprogress
62,18,0.7890625,30121,Ġunity
63,19,0.89453125,13,.
64,20,0.353515625,468,ĠThe
68,21,0.1923828125,527,Ġby
69,22,0.455078125,13102,Ġconflict
70,23,0.51171875,3327,Ġoften
66,24,0.37890625,7299,Ġbrought
67,25,0.69921875,866,Ġabout
73,26,0.423828125,297,Ġto
74,27,0.6015625,73724,Ġinnovate
72,28,0.83203125,35797,Ġsocieties
75,29,0.609375,301,Ġand
71,30,0.322265625,74809,Ġcompel
65,31,0.61328125,7649,Ġchallenges
76,32,0.60546875,8630,Ġadapt
77,33,0.6484375,11,","
79,34,0.87890625,297,Ġto
78,35,1.0,6135,Ġleading
80,36,0.640625,60600,Ġadvancements
81,37,0.49609375,296,Ġin
83,38,0.58984375,11,","
85,39,0.8984375,11,","
86,40,0.96875,301,Ġand
82,41,0.546875,4512,Ġtechnology
88,42,0.48828125,13,.
91,43,0.498046875,11,","
89,44,0.953125,1741,ĠFor
90,45,0.9140625,5070,Ġinstance
84,46,0.28515625,6855,Ġstrategy
87,47,0.287109375,21798,Ġcooperation
92,48,0.82421875,268,Ġthe
93,49,0.7109375,3562,Ġdevelopment
94,50,1.0,300,Ġof
97,51,0.416015625,11,","
96,52,0.58984375,17580,Ġweapons
95,53,0.486328125,9763,Ġadvanced
100,54,0.5,11,","
101,55,0.94921875,301,Ġand
98,56,0.46484375,5361,Ġmedical
102,57,0.546875,7384,Ġcommunication
106,58,0.5078125,15463,Ġdriven
107,59,0.99609375,527,Ġby
105,60,0.57421875,1007,Ġbeen
104,61,0.62109375,723,Ġhas
103,62,0.466796875,11265,Ġtechnologies
99,63,0.18359375,60600,Ġadvancements
108,64,0.91796875,268,Ġthe
109,65,0.73828125,1050,Ġneed
110,66,0.984375,297,Ġto
112,67,0.36328125,301,Ġand
111,68,0.55859375,18484,Ġsurvive
114,69,0.578125,296,Ġin
113,70,0.5234375,33118,Ġthrive
117,71,0.455078125,13,.
116,72,0.6171875,17774,Ġenvironments
115,73,0.6015625,45865,Ġhostile
119,74,0.400390625,11,","
118,75,0.609375,14143,ĠAdditionally
120,76,0.42578125,268,Ġthe
122,77,0.248046875,300,Ġof
